"","device_name","latitude","longitude","radius_m","month","hour","avg_speed","tti80","base_speed","spd_diff","pct_diff","avg_Temperature","avg_Humidity","avg_BC","avg_PM25","avg_NO2"
"1","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,0,16.9382282386459,1.0050940194455,NA,NA,NA,57.5503076923077,72.9384615384615,0.693129230769231,9.34153846153846,11.0707692307692
"2","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,1,16.6598375230434,1,NA,NA,NA,56.4125,73.9241666666667,0.6981625,9.965,10.9291666666667
"3","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,2,16.1728821548822,1.00489573044461,14.2672608695652,0.3,2.1,55.6896363636364,74.11,0.668743636363636,10.5672727272727,11.0081818181818
"4","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,3,17.3087337662338,1,14.319,2.43,16.98,55.5485,74.5133333333333,0.6170675,10.0708333333333,10.3933333333333
"5","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,4,16.3583964803313,1,14.7690476190476,1.58666666666667,15.6,55.31,76.1525,0.565526666666667,9.85833333333333,10.3808333333333
"6","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,5,16.9449932090709,1.00515902461093,14.2682222222222,2.67666666666667,19.4633333333333,55.7309230769231,76.1130769230769,0.788211538461538,9.02076923076923,10.3607692307692
"7","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,6,16.5571645837014,1,13.0329243589743,3.52333333333333,28.19,55.082,76.5825,0.574221666666667,8.74583333333333,10.855
"8","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,7,16.641303487429,1,12.3387040491937,4.30333333333333,35.57,55.9427692307692,76.4384615384615,0.884538461538461,8.96846153846154,10.8484615384615
"9","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,8,15.9771841820152,1.03690976486451,11.7093215083432,4.26666666666667,36.56,57.3107692307692,75.1146153846154,1.06229230769231,9.01,11.4876923076923
"10","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,9,15.9620343242415,1.02931762667372,12.2526334959349,3.71,30.37,59.5895,72.49,0.569371666666667,8.615,9.74083333333333
"11","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,10,16.6705455567264,1,11.8169148896371,4.85,41.2,61.4015,69.4566666666667,0.53926,8.055,9.45416666666667
"12","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,11,16.35097586727,1.01384553885553,11.8281131421894,4.52333333333333,38.8,61.9421818181818,67.2345454545455,0.575257272727273,9.06909090909091,9.23454545454545
"13","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,12,16.4324828770688,1.0043912082203,12.2469180402706,4.18333333333333,34.3233333333333,63.122,64.7163636363636,0.439370909090909,8.94909090909091,9.16545454545455
"14","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,13,16.5927435897436,1,12.0390615134306,4.55333333333333,38.42,64.3325,63.015,0.3074225,8.9275,8.9425
"15","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,14,16.1921386900561,1.01829549477343,11.8250172986638,4.37,37.3533333333333,64.5505454545455,60.4736363636364,0.484455454545455,9.82272727272727,9.47
"16","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,15,15.9570388416213,1.01558206866067,12.0633127353086,3.89333333333333,32.2866666666667,64.6925,59.3866666666667,0.454404166666667,9.59,9.59583333333333
"17","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,16,16.3083385851096,1,11.6601966426859,4.64666666666667,39.8633333333333,63.0086,60.605,0.447701,10.422,11.5
"18","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,17,16.0056401455835,1.01344250699479,11.1961641414142,4.81,42.9433333333333,60.5402857142857,66.2035714285714,0.483842142857143,9.47571428571429,12.8471428571429
"19","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,18,17.1353788948291,1,11.9033082302313,5.23,44.2666666666667,59.459,68.4771428571429,0.611979285714286,10.5685714285714,12.495
"20","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,19,16.8990923881316,1,12.0438039752493,4.85666666666667,40.3166666666667,58.8315714285714,69.8792857142857,0.667712857142857,10.69,11.0485714285714
"21","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,20,16.5738769106408,1.01186472856228,12.3643610421836,4.21,34.5133333333333,58.3391428571429,70.5757142857143,0.683695714285714,10.3528571428571,10.76
"22","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,21,17.3663887618828,1,14.0100960960961,3.35333333333333,24.2533333333333,57.866,70.9914285714286,0.738776428571429,10.575,10.7164285714286
"23","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,22,17.3871229530201,1,13.9126018518519,2.63,18.87,57.4738571428571,71.63,0.690698571428571,10.1642857142857,10.6971428571429
"24","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,12,23,16.7312703378205,1.01033657425075,13.6534285714286,3.08,23.3633333333333,57.3735714285714,72.1378571428571,0.598798571428571,9.31357142857143,10.5335714285714
"25","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156,100,1,0,16.3641521707138,1.00011601495075,NA,NA,NA,53.2516129032258,62.7548387096774,0.820742580645161,11.6470967741935,14.0577419354839
