"","alt.id","device_name","latitude","longitude"
"2","DVCKP7679","Carroll Ave. & 3rd St. (BC)",37.725156,-122.394156
"3","DNHZP3586","9th St. and Brannan St. (BC)",37.769559,-122.406857
"4","DEVXA9067","Hyde St. & Golden Gate Ave. (BC)",37.782098,-122.415329
"5","DGVIU8498","Kirkwood Ave. & Earl St. (BC)",37.728871,-122.374401
"7","DAJXS2653","Clay St. & Kearny St. (BC)",37.794292,-122.404098
"8","DSARJ4044","Eddy St. & Jones St. (BC)",37.783781,-122.411561
"9","DCDBK0901","Howard St. & 6th St. (BC)",37.77947,-122.407921
"11","DPANQ2934","Air District Reference Site",37.7661,-122.398971
"12","DBUFQ1648","Newcomb Ave. & 3rd St. (BC)",37.734787,-122.389569
"13","DSUSD5545","Broadway St. & Stockton St. (BC)",37.797211,-122.409109
