"","alt.ID","ID","Latitude","Longitude","BC_AllSources_Hour_Calibrated","BC_Biomass_Hour_Calibrated","BC_FossilFuel_Hour_Calibrated","BC_SpectralB1_Hour_Calibrated","BC_SpectralG1_Hour_Calibrated","BC_SpectralIR1_Hour_Calibrated","BC_SpectralR1_Hour_Calibrated","BC_SpectralUV1_Hour_Calibrated","Datetime","Temperature","Humidity","PM2.5_Hour_MassConc_Calibrated","NO2_Hour_MassConc_Calibrated","Neighborhood","Device_Name"
"1","DPANQ2934","APQ6QPGM",37.765992,-122.399273,0,0,0,0,0,0,0,0,"2024-12-11T18:00:00.000Z",23.42,37.2,12.19,8.64,"Potrero Hill","Air District Reference Site"
"2","DPANQ2934","APQ6QPGM",37.765992,-122.399273,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-11T19:00:00.000Z",24.66,35.34,13.92,8.08,"Potrero Hill","Air District Reference Site"
"3","DPANQ2934","APQ6QPGM",37.765992,-122.399273,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-11T20:00:00.000Z",NA,NA,NA,NA,"Potrero Hill","Air District Reference Site"
"4","DPANQ2934","APQ6QPGM",37.765992,-122.399273,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-11T21:00:00.000Z",NA,NA,NA,NA,"Potrero Hill","Air District Reference Site"
"5","DPANQ2934","APQ6QPGM",37.765992,-122.399273,0,0,0,0,0,0,0,0,"2024-12-11T22:00:00.000Z",20.03,36.9,34.33,8.62,"Potrero Hill","Air District Reference Site"
"6","DPANQ2934","APQ6QPGM",37.765992,-122.399273,1180.3,241.8,937.6,1371.55,1276.45,1166.35,1249.85,1650.45,"2024-12-11T23:00:00.000Z",20.33,36.64,29.37,10.81,"Potrero Hill","Air District Reference Site"
"7","DPANQ2934","APQ6QPGM",37.765992,-122.399273,516.33,341.78,173.56,820.22,729.39,522,653.83,749.67,"2024-12-12T00:00:00.000Z",17.92,38.65,14.24,8.86,"Potrero Hill","Air District Reference Site"
"8","DPANQ2934","APQ6QPGM",37.765992,-122.399273,509.85,65.2,444.15,559.75,638,513.35,609.1,475,"2024-12-12T01:00:00.000Z",15.88,54.12,11.22,16.34,"Potrero Hill","Air District Reference Site"
"9","DPANQ2934","APQ6QPGM",37.765992,-122.399273,622.6,18.2,603.9,607.9,575.1,614.25,687.05,686.15,"2024-12-12T02:00:00.000Z",15.24,60.91,12.28,13.05,"Potrero Hill","Air District Reference Site"
"10","DPANQ2934","APQ6QPGM",37.765992,-122.399273,691.74,39.11,651.95,708.58,660.68,704.32,617.89,804.32,"2024-12-12T03:00:00.000Z",14.94,63.86,12.58,11.61,"Potrero Hill","Air District Reference Site"
"11","DPANQ2934","APQ6QPGM",37.765992,-122.399273,918.94,32,886.28,908.11,872.11,917.67,849.06,1087.33,"2024-12-12T04:00:00.000Z",14.92,64.42,13.02,12.8,"Potrero Hill","Air District Reference Site"
"12","DPANQ2934","APQ6QPGM",37.765992,-122.399273,903.37,216.37,686,1101.89,1018.05,908,1008.16,1278.32,"2024-12-12T05:00:00.000Z",15.19,61.37,14.47,12.67,"Potrero Hill","Air District Reference Site"
"13","DPANQ2934","APQ6QPGM",37.765992,-122.399273,1050.85,353,696.85,1330.15,1232.45,1034.7,1170.85,1584.35,"2024-12-12T06:00:00.000Z",15.07,56.68,20.21,11.87,"Potrero Hill","Air District Reference Site"
"14","DPANQ2934","APQ6QPGM",37.765992,-122.399273,850.75,288.85,560.9,1085.85,1037.9,859.6,968.6,1256.5,"2024-12-12T07:00:00.000Z",14.7,63.04,16.07,14.15,"Potrero Hill","Air District Reference Site"
"15","DPANQ2934","APQ6QPGM",37.765992,-122.399273,471.9,111.7,359.25,584.4,557.65,473.9,543.75,629.75,"2024-12-12T08:00:00.000Z",14.26,73.07,10.09,11.78,"Potrero Hill","Air District Reference Site"
"16","DPANQ2934","APQ6QPGM",37.765992,-122.399273,901.45,364.7,535.75,1201.15,1156.9,877.35,1077.7,1289.65,"2024-12-12T09:00:00.000Z",13.36,72.45,20.57,11.9,"Potrero Hill","Air District Reference Site"
"17","DPANQ2934","APQ6QPGM",37.765992,-122.399273,582.55,216.2,365.4,763.55,739.55,586.6,675.55,838.3,"2024-12-12T10:00:00.000Z",12.78,74.79,12.2,8.84,"Potrero Hill","Air District Reference Site"
"18","DPANQ2934","APQ6QPGM",37.765992,-122.399273,118.5,5.4,113.15,60.6,42.35,129.55,83.1,143.6,"2024-12-12T11:00:00.000Z",13.52,77.06,3.05,7.94,"Potrero Hill","Air District Reference Site"
"19","DPANQ2934","APQ6QPGM",37.765992,-122.399273,108.4,3.85,104.35,65.55,35.7,125.9,74.35,88.15,"2024-12-12T12:00:00.000Z",13.83,76.58,3.96,6.62,"Potrero Hill","Air District Reference Site"
"20","DPANQ2934","APQ6QPGM",37.765992,-122.399273,175.8,3.3,172.3,116.4,102.8,160.45,144.5,146.25,"2024-12-12T13:00:00.000Z",14.21,75.33,6.7,7.49,"Potrero Hill","Air District Reference Site"
"21","DPANQ2934","APQ6QPGM",37.765992,-122.399273,187.68,17.79,169.53,190.21,169.89,178.05,179.42,139.89,"2024-12-12T14:00:00.000Z",14.19,73.26,8.38,7.67,"Potrero Hill","Air District Reference Site"
"22","DPANQ2934","APQ6QPGM",37.765992,-122.399273,222.25,5.5,216.6,148.4,175.95,221.45,182.65,147.45,"2024-12-12T15:00:00.000Z",13.96,73.15,9.1,8.59,"Potrero Hill","Air District Reference Site"
"23","DPANQ2934","APQ6QPGM",37.765992,-122.399273,259.94,4.11,255.67,177.22,154.61,251.78,199.5,225.28,"2024-12-12T16:00:00.000Z",14.29,69.06,7.58,8.71,"Potrero Hill","Air District Reference Site"
"24","DPANQ2934","APQ6QPGM",37.765992,-122.399273,305.9,4.55,301.3,209.65,145.9,286.85,229.9,360.5,"2024-12-12T17:00:00.000Z",16,61.23,5.6,9.39,"Potrero Hill","Air District Reference Site"
"25","DPANQ2934","APQ6QPGM",37.765992,-122.399273,132.84,20.84,111.84,134.16,114.84,135.37,146.32,176.89,"2024-12-12T18:00:00.000Z",16.89,56.47,5.2,8.83,"Potrero Hill","Air District Reference Site"
"26","DPANQ2934","APQ6QPGM",37.765992,-122.399273,-24.9,3.65,-28.7,38.5,-8.35,-8.45,28.05,88,"2024-12-12T19:00:00.000Z",17.72,52.13,6.01,8.07,"Potrero Hill","Air District Reference Site"
"27","DPANQ2934","APQ6QPGM",37.765992,-122.399273,23.45,4.05,19.3,41.55,89.15,31.05,46.95,-58,"2024-12-12T20:00:00.000Z",16.94,54.99,6.49,7.85,"Potrero Hill","Air District Reference Site"
"28","DPANQ2934","APQ6QPGM",37.765992,-122.399273,83.25,9.95,73.15,69.85,75,77.8,75.05,29.95,"2024-12-12T21:00:00.000Z",16.74,59.74,6.85,8.3,"Potrero Hill","Air District Reference Site"
"29","DPANQ2934","APQ6QPGM",37.765992,-122.399273,33.55,18.05,15.35,86.35,127.7,36.85,54.25,-70.5,"2024-12-12T22:00:00.000Z",15.25,69.36,6.51,8.31,"Potrero Hill","Air District Reference Site"
"30","DVCKP7679","AW7V74JH",37.725156,-122.394156,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-12T22:00:00.000Z",29.2,33.23,3.81,7.92,"BVHP","BVHP Foundation"
"31","DPANQ2934","APQ6QPGM",37.765992,-122.399273,66.4,16.65,49.6,84.75,126.85,66.25,88.95,19.8,"2024-12-12T23:00:00.000Z",14.44,72.11,5.98,7.98,"Potrero Hill","Air District Reference Site"
"32","DVCKP7679","AW7V74JH",37.725156,-122.394156,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-12T23:00:00.000Z",30.34,32.25,3.62,7.47,"BVHP","BVHP Foundation"
"33","DPANQ2934","APQ6QPGM",37.765992,-122.399273,83.95,11.47,72.11,60.89,102.32,90.21,95.84,73.32,"2024-12-13T00:00:00.000Z",13.97,73.14,4.7,7.35,"Potrero Hill","Air District Reference Site"
"34","DVCKP7679","AW7V74JH",37.725156,-122.394156,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-13T00:00:00.000Z",30.51,32.15,3.42,7.8,"BVHP","BVHP Foundation"
"35","DPANQ2934","APQ6QPGM",37.765992,-122.399273,180.3,9.45,170.45,158.95,149.15,172.15,172.4,191.25,"2024-12-13T01:00:00.000Z",14.12,73.08,6.48,6.96,"Potrero Hill","Air District Reference Site"
"36","DVCKP7679","AW7V74JH",37.725156,-122.394156,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-13T01:00:00.000Z",NA,NA,NA,NA,"BVHP","BVHP Foundation"
"37","DPANQ2934","APQ6QPGM",37.765992,-122.399273,170.25,3.6,166.5,110.75,112.4,162.85,135.4,136.3,"2024-12-13T02:00:00.000Z",14.34,72.57,5.98,6.37,"Potrero Hill","Air District Reference Site"
"38","DVCKP7679","AW7V74JH",37.725156,-122.394156,NA,NA,NA,NA,NA,NA,NA,NA,"2024-12-13T02:00:00.000Z",NA,NA,NA,NA,"BVHP","BVHP Foundation"
