datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-11T18:00:00.000Z,2024-12-11T19:00:00.000Z,37.76599200,-122.39927300,,,,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,6.62,calibrated-ready,8.64,6,calibrated-ready,8,7,calibrated-ready,9,,,,,,,18.44,calibration-missing,,18,calibration-missing,,21.98,calibration-missing,,17.93,sensor-ready,17.93,21.86,sensor-ready,21.86,8.43,calibration-missing,,16.98,sensor-ready,16.98,13.63,calibrated-ready,12.19,14,calibrated-ready,12,17.08,calibrated-ready,14.10,16.38,calibrated-ready,13.84,64,calibrated-ready,60,17.80,sensor-ready,17.80,21.72,sensor-ready,21.72,,,,37.20,sensor-ready,37.20,,,,23.42,sensor-ready,23.42,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-11T19:00:00.000Z,2024-12-11T20:00:00.000Z,37.76599200,-122.39927300,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70,calibrated-ready,8.08,5,calibrated-ready,8,6,calibrated-ready,8,,,,,,,20.75,calibration-missing,,21,calibration-missing,,21.57,calibration-missing,,21.90,sensor-ready,21.90,21.87,sensor-ready,21.87,11.10,calibration-missing,,20.88,sensor-ready,20.88,16.57,calibrated-ready,13.92,17,calibrated-ready,14,16.91,calibrated-ready,14.04,16.47,calibrated-ready,13.88,65,calibrated-ready,60,21.78,sensor-ready,21.78,21.74,sensor-ready,21.74,,,,35.34,sensor-ready,35.34,,,,24.66,sensor-ready,24.66,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-11T20:00:00.000Z,2024-12-11T21:00:00.000Z,37.76599200,-122.39927300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.57,calibration-missing,,,,,21.87,sensor-ready,21.87,,,,,,,,,,,,,16.91,calibrated-ready,14.04,16.47,calibrated-ready,13.88,65,calibrated-ready,60,,,,21.74,sensor-ready,21.74,,,,,,,,,,,,,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-11T21:00:00.000Z,2024-12-11T22:00:00.000Z,37.76599200,-122.39927300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.57,calibration-missing,,,,,21.87,sensor-ready,21.87,,,,,,,,,,,,,16.91,calibrated-ready,14.04,,,,,,,,,,21.74,sensor-ready,21.74,,,,,,,,,,,,,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-11T22:00:00.000Z,2024-12-11T23:00:00.000Z,37.76599200,-122.39927300,,,,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,0.00,sensor-ready,0.00,9.50,calibrated-ready,8.62,8,calibrated-ready,8,10,calibrated-ready,9,,,,,,,63.92,calibration-missing,,64,calibration-missing,,32.16,calibration-missing,,60.51,sensor-ready,60.51,31.53,sensor-ready,31.53,27.59,calibration-missing,,56.43,sensor-ready,56.43,45.35,calibrated-ready,34.33,45,calibrated-ready,34,24.02,calibrated-ready,19.11,,,,,,,59.98,sensor-ready,59.98,31.30,sensor-ready,31.30,,,,36.90,sensor-ready,36.90,,,,20.03,sensor-ready,20.03,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-11T23:00:00.000Z,2024-12-12T00:00:00.000Z,37.76599200,-122.39927300,,,,1180.30,sensor-ready,1180.30,241.80,sensor-ready,241.80,937.60,sensor-ready,937.60,1371.55,sensor-ready,1371.55,1276.45,sensor-ready,1276.45,1166.35,sensor-ready,1166.35,1249.85,sensor-ready,1249.85,1650.45,sensor-ready,1650.45,11.44,calibrated-ready,10.81,10,calibrated-ready,9,11,calibrated-ready,11,,,,,,,51.84,calibration-missing,,52,calibration-missing,,36.10,calibration-missing,,52.88,sensor-ready,52.88,35.80,sensor-ready,35.80,24.59,calibration-missing,,49.73,sensor-ready,49.73,39.11,calibrated-ready,29.37,39,calibrated-ready,29,27.04,calibrated-ready,21.17,39.50,calibrated-ready,29.85,111,calibrated-ready,90,52.54,sensor-ready,52.54,35.55,sensor-ready,35.55,,,,36.64,sensor-ready,36.64,,,,20.33,sensor-ready,20.33,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-12T00:00:00.000Z,2024-12-12T01:00:00.000Z,37.76599200,-122.39927300,,,,516.33,sensor-ready,516.33,341.78,sensor-ready,341.78,173.56,sensor-ready,173.56,820.22,sensor-ready,820.22,729.39,sensor-ready,729.39,522.00,sensor-ready,522.00,653.83,sensor-ready,653.83,749.67,sensor-ready,749.67,11.03,calibrated-ready,8.86,10,calibrated-ready,8,11,calibrated-ready,9,,,,,,,21.70,calibration-missing,,22,calibration-missing,,33.70,calibration-missing,,23.10,sensor-ready,23.10,33.68,sensor-ready,33.68,12.06,calibration-missing,,22.13,sensor-ready,22.13,16.91,calibrated-ready,14.24,17,calibrated-ready,14,25.35,calibrated-ready,20.01,26.98,calibrated-ready,21.20,84,calibrated-ready,74,22.98,sensor-ready,22.98,33.46,sensor-ready,33.46,,,,38.65,sensor-ready,38.65,,,,17.92,sensor-ready,17.92,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-12T01:00:00.000Z,2024-12-12T02:00:00.000Z,37.76599200,-122.39927300,,,,509.85,sensor-ready,509.85,65.20,sensor-ready,65.20,444.15,sensor-ready,444.15,559.75,sensor-ready,559.75,638.00,sensor-ready,638.00,513.35,sensor-ready,513.35,609.10,sensor-ready,609.10,475.00,sensor-ready,475.00,18.44,calibrated-ready,16.34,17,calibrated-ready,15,18,calibrated-ready,16,,,,,,,18.87,calibration-missing,,19,calibration-missing,,31.58,calibration-missing,,19.54,sensor-ready,19.54,31.66,sensor-ready,31.66,9.98,calibration-missing,,18.69,sensor-ready,18.69,14.29,calibrated-ready,11.22,14,calibrated-ready,11,23.77,calibrated-ready,18.76,20.31,calibrated-ready,15.96,72,calibrated-ready,64,19.43,sensor-ready,19.43,31.45,sensor-ready,31.45,,,,54.12,sensor-ready,54.12,,,,15.88,sensor-ready,15.88,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-12T02:00:00.000Z,2024-12-12T03:00:00.000Z,37.76599200,-122.39927300,,,,622.60,sensor-ready,622.60,18.20,sensor-ready,18.20,603.90,sensor-ready,603.90,607.90,sensor-ready,607.90,575.10,sensor-ready,575.10,614.25,sensor-ready,614.25,687.05,sensor-ready,687.05,686.15,sensor-ready,686.15,16.75,calibrated-ready,13.05,15,calibrated-ready,12,17,calibrated-ready,13,,,,,,,23.36,calibration-missing,,23,calibration-missing,,30.55,calibration-missing,,23.20,sensor-ready,23.20,30.61,sensor-ready,30.61,12.25,calibration-missing,,22.15,sensor-ready,22.15,17.54,calibrated-ready,12.28,18,calibrated-ready,12,22.99,calibrated-ready,17.95,18.89,calibrated-ready,14.07,69,calibrated-ready,60,23.07,sensor-ready,23.07,30.40,sensor-ready,30.40,,,,60.91,sensor-ready,60.91,,,,15.24,sensor-ready,15.24,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2024-12-12T03:00:00.000Z,2024-12-12T04:00:00.000Z,37.76599200,-122.39927300,,,,691.74,sensor-ready,691.74,39.11,sensor-ready,39.11,651.95,sensor-ready,651.95,708.58,sensor-ready,708.58,660.68,sensor-ready,660.68,704.32,sensor-ready,704.32,617.89,sensor-ready,617.89,804.32,sensor-ready,804.32,16.36,calibrated-ready,11.61,15,calibrated-ready,10,16,calibrated-ready,12,,,,,,,24.94,calibration-missing,,25,calibration-missing,,29.93,calibration-missing,,24.84,sensor-ready,24.84,29.96,sensor-ready,29.96,13.50,calibration-missing,,23.71,sensor-ready,23.71,19.66,calibrated-ready,12.58,20,calibrated-ready,13,22.62,calibrated-ready,17.35,19.28,calibrated-ready,13.32,70,calibrated-ready,59,24.71,sensor-ready,24.71,29.77,sensor-ready,29.77,,,,63.86,sensor-ready,63.86,,,,14.94,sensor-ready,14.94,,,,,,
