datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DAJXS2653,A3GP6QHN,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.79429200,-122.40409800,,,,148.60,sensor-ready,148.60,4.90,sensor-ready,4.90,143.60,sensor-ready,143.60,108.55,sensor-ready,108.55,111.50,sensor-ready,111.50,158.10,sensor-ready,158.10,127.35,sensor-ready,127.35,94.60,sensor-ready,94.60,10.92,calibrated-ready,9.09,9,calibrated-ready,8,11,calibrated-ready,9,,,,,,,20.02,calibration-missing,,20,calibration-missing,,17.33,calibration-missing,,17.01,sensor-ready,17.01,15.29,sensor-ready,15.29,8.14,calibration-missing,,15.80,sensor-ready,15.80,16.31,calibrated-ready,9.08,16,calibrated-ready,9,14.28,calibrated-ready,9.25,16.86,calibrated-ready,9.74,65,calibrated-ready,52,16.87,sensor-ready,16.87,15.17,sensor-ready,15.17,,,,71.57,sensor-ready,71.57,,,,17.05,sensor-ready,17.05,,,,,,
DBUFQ1648,A9V4VJWX,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.73478700,-122.38956900,,,,62.90,sensor-ready,62.90,7.45,sensor-ready,7.45,55.20,sensor-ready,55.20,55.70,sensor-ready,55.70,59.10,sensor-ready,59.10,60.75,sensor-ready,60.75,45.75,sensor-ready,45.75,40.50,sensor-ready,40.50,8.16,calibrated-ready,6.04,8,calibrated-ready,6,8,calibrated-ready,6,,,,,,,32.21,calibration-missing,,32,calibration-missing,,26.07,calibration-missing,,15.83,sensor-ready,15.83,13.08,sensor-ready,13.08,8.32,calibration-missing,,14.73,sensor-ready,14.73,14.47,calibrated-ready,11.57,14,calibrated-ready,12,11.42,calibrated-ready,10.86,14.53,calibrated-ready,11.88,61,calibrated-ready,56,15.58,sensor-ready,15.58,12.86,sensor-ready,12.86,,,,77.50,sensor-ready,77.50,,,,16.10,sensor-ready,16.10,,,,,,
DCDBK0901,A9WY7XJ6,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.77947000,-122.40792100,,,,167.55,sensor-ready,167.55,27.15,sensor-ready,27.15,139.95,sensor-ready,139.95,167.00,sensor-ready,167.00,160.75,sensor-ready,160.75,163.95,sensor-ready,163.95,156.45,sensor-ready,156.45,162.95,sensor-ready,162.95,8.85,calibrated-ready,5.66,8,calibrated-ready,5,9,calibrated-ready,6,,,,,,,24.85,calibration-missing,,25,calibration-missing,,19.92,calibration-missing,,15.60,sensor-ready,15.60,13.24,sensor-ready,13.24,8.36,calibration-missing,,14.57,sensor-ready,14.57,15.10,calibrated-ready,10.14,15,calibrated-ready,10,12.58,calibrated-ready,9.62,15.57,calibrated-ready,10.53,63,calibrated-ready,54,15.39,sensor-ready,15.39,13.06,sensor-ready,13.06,,,,72.26,sensor-ready,72.26,,,,16.94,sensor-ready,16.94,,,,,,
DEVXA9067,ARY9KH49,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.78209800,-122.41532900,,,,133.33,sensor-ready,133.33,9.17,sensor-ready,9.17,123.83,sensor-ready,123.83,96.44,sensor-ready,96.44,106.33,sensor-ready,106.33,127.72,sensor-ready,127.72,114.11,sensor-ready,114.11,100.06,sensor-ready,100.06,11.61,calibrated-ready,9.00,10,calibrated-ready,8,12,calibrated-ready,9,,,,,,,28.36,calibration-missing,,28,calibration-missing,,23.24,calibration-missing,,16.02,sensor-ready,16.02,13.79,sensor-ready,13.79,8.37,calibration-missing,,14.99,sensor-ready,14.99,15.33,calibrated-ready,10.78,15,calibrated-ready,11,12.81,calibrated-ready,10.47,15.57,calibrated-ready,11.41,63,calibrated-ready,55,15.76,sensor-ready,15.76,13.57,sensor-ready,13.57,,,,75.29,sensor-ready,75.29,,,,16.29,sensor-ready,16.29,,,,,,
DGVIU8498,AGXKW9H6,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.72887100,-122.37440100,,,,153.33,sensor-ready,153.33,7.00,sensor-ready,7.00,146.10,sensor-ready,146.10,128.19,sensor-ready,128.19,121.19,sensor-ready,121.19,139.24,sensor-ready,139.24,138.57,sensor-ready,138.57,95.33,sensor-ready,95.33,11.49,calibrated-ready,10.00,10,calibrated-ready,9,11,calibrated-ready,10,,,,,,,27.86,calibration-missing,,28,calibration-missing,,20.82,calibration-missing,,17.38,sensor-ready,17.38,13.40,sensor-ready,13.40,8.56,calibration-missing,,16.15,sensor-ready,16.15,17.38,calibrated-ready,10.08,17,calibrated-ready,10,13.14,calibrated-ready,9.36,17.54,calibrated-ready,10.49,67,calibrated-ready,53,17.16,sensor-ready,17.16,13.23,sensor-ready,13.23,,,,80.24,sensor-ready,80.24,,,,15.48,sensor-ready,15.48,,,,,,
DNHZP3586,ACG3QXTF,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.76955900,-122.40685700,,,,235.90,sensor-ready,235.90,1.15,sensor-ready,1.15,234.75,sensor-ready,234.75,198.20,sensor-ready,198.20,210.65,sensor-ready,210.65,250.05,sensor-ready,250.05,206.60,sensor-ready,206.60,163.25,sensor-ready,163.25,11.20,calibrated-ready,8.57,10,calibrated-ready,8,11,calibrated-ready,9,,,,,,,28.64,calibration-missing,,29,calibration-missing,,22.61,calibration-missing,,13.23,sensor-ready,13.23,11.66,sensor-ready,11.66,7.41,calibration-missing,,12.39,sensor-ready,12.39,12.57,calibrated-ready,11.05,13,calibrated-ready,11,10.12,calibrated-ready,10.23,12.56,calibrated-ready,11.29,57,calibrated-ready,55,13.03,sensor-ready,13.03,11.47,sensor-ready,11.47,,,,70.95,sensor-ready,70.95,,,,16.76,sensor-ready,16.76,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.76610000,-122.39897100,,,,294.90,sensor-ready,294.90,25.50,sensor-ready,25.50,268.80,sensor-ready,268.80,306.80,sensor-ready,306.80,336.95,sensor-ready,336.95,293.35,sensor-ready,293.35,336.70,sensor-ready,336.70,310.25,sensor-ready,310.25,10.45,calibrated-ready,6.09,9,calibrated-ready,6,10,calibrated-ready,6,,,,,,,26.45,calibration-missing,,26,calibration-missing,,21.13,calibration-missing,,15.78,sensor-ready,15.78,13.15,sensor-ready,13.15,7.41,calibration-missing,,14.78,sensor-ready,14.78,12.95,calibrated-ready,10.63,13,calibrated-ready,11,10.57,calibrated-ready,10.13,13.14,calibrated-ready,11.25,58,calibrated-ready,55,15.54,sensor-ready,15.54,12.95,sensor-ready,12.95,,,,73.14,sensor-ready,73.14,,,,16.80,sensor-ready,16.80,,,,,,
DSARJ4044,ARC4GYFK,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.78378100,-122.41156100,,,,264.53,sensor-ready,264.53,13.21,sensor-ready,13.21,251.21,sensor-ready,251.21,254.53,sensor-ready,254.53,258.74,sensor-ready,258.74,296.63,sensor-ready,296.63,296.89,sensor-ready,296.89,337.68,sensor-ready,337.68,9.83,calibrated-ready,9.46,8,calibrated-ready,8,10,calibrated-ready,9,,,,,,,27.96,calibration-missing,,28,calibration-missing,,23.42,calibration-missing,,16.88,sensor-ready,16.88,14.75,sensor-ready,14.75,8.73,calibration-missing,,15.77,sensor-ready,15.77,14.67,calibrated-ready,11.04,15,calibrated-ready,11,12.30,calibrated-ready,10.61,15.01,calibrated-ready,11.57,62,calibrated-ready,55,16.62,sensor-ready,16.62,14.53,sensor-ready,14.53,,,,73.60,sensor-ready,73.60,,,,16.91,sensor-ready,16.91,,,,,,
DSUSD5545,ATMWFH4K,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.79721100,-122.40910900,,,,92.75,sensor-ready,92.75,20.05,sensor-ready,20.05,72.20,sensor-ready,72.20,109.60,sensor-ready,109.60,142.30,sensor-ready,142.30,92.50,sensor-ready,92.50,96.20,sensor-ready,96.20,135.20,sensor-ready,135.20,13.95,calibrated-ready,13.68,12,calibrated-ready,12,14,calibrated-ready,14,,,,,,,27.35,calibration-missing,,27,calibration-missing,,21.91,calibration-missing,,18.24,sensor-ready,18.24,15.77,sensor-ready,15.77,10.26,calibration-missing,,16.97,sensor-ready,16.97,19.19,calibrated-ready,10.87,19,calibrated-ready,11,15.79,calibrated-ready,10.62,19.29,calibrated-ready,11.43,70,calibrated-ready,55,18.01,sensor-ready,18.01,15.57,sensor-ready,15.57,,,,72.99,sensor-ready,72.99,,,,16.63,sensor-ready,16.63,,,,,,
DVCKP7679,AW7V74JH,CLARITY_NODE,hour,2025-08-22T07:00:00.000Z,2025-08-22T08:00:00.000Z,37.72515600,-122.39415600,,,,156.26,sensor-ready,156.26,5.95,sensor-ready,5.95,150.05,sensor-ready,150.05,142.89,sensor-ready,142.89,148.95,sensor-ready,148.95,159.95,sensor-ready,159.95,156.16,sensor-ready,156.16,139.00,sensor-ready,139.00,11.85,calibrated-ready,6.38,10,calibrated-ready,6,12,calibrated-ready,6,,,,,,,26.89,calibration-missing,,27,calibration-missing,,21.12,calibration-missing,,17.65,sensor-ready,17.65,14.38,sensor-ready,14.38,8.91,calibration-missing,,16.59,sensor-ready,16.59,14.06,calibrated-ready,10.60,14,calibrated-ready,11,11.07,calibrated-ready,9.82,13.71,calibrated-ready,10.59,60,calibrated-ready,54,17.47,sensor-ready,17.47,14.22,sensor-ready,14.22,,,,76.73,sensor-ready,76.73,,,,16.31,sensor-ready,16.31,,,,,,
