datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DAJXS2653,A3GP6QHN,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.79429200,-122.40409800,,,,89.75,sensor-ready,89.75,9.60,sensor-ready,9.60,79.80,sensor-ready,79.80,87.70,sensor-ready,87.70,83.50,sensor-ready,83.50,93.05,sensor-ready,93.05,82.75,sensor-ready,82.75,68.95,sensor-ready,68.95,9.88,calibrated-ready,8.77,8,calibrated-ready,8,10,calibrated-ready,9,,,,,,,5.40,calibration-missing,,5,calibration-missing,,7.89,calibration-missing,,5.93,sensor-ready,5.93,8.59,sensor-ready,8.59,1.66,calibration-missing,,5.58,sensor-ready,5.58,4.11,calibrated-ready,4.57,4,calibrated-ready,5,6.51,calibrated-ready,5.95,4.41,calibrated-ready,4.88,24,calibrated-ready,27,5.89,sensor-ready,5.89,8.54,sensor-ready,8.54,,,,65.35,sensor-ready,65.35,,,,13.47,sensor-ready,13.47,,,,,,
DBUFQ1648,A9V4VJWX,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.73478700,-122.38956900,,,,110.30,sensor-ready,110.30,8.60,sensor-ready,8.60,101.50,sensor-ready,101.50,118.55,sensor-ready,118.55,98.35,sensor-ready,98.35,101.40,sensor-ready,101.40,142.70,sensor-ready,142.70,56.40,sensor-ready,56.40,8.81,calibrated-ready,7.30,8,calibrated-ready,7,9,calibrated-ready,7,,,,,,,9.12,calibration-missing,,9,calibration-missing,,11.23,calibration-missing,,5.42,sensor-ready,5.42,6.69,sensor-ready,6.69,2.14,calibration-missing,,5.13,sensor-ready,5.13,3.52,calibrated-ready,5.37,4,calibrated-ready,5,4.75,calibrated-ready,6.52,3.57,calibrated-ready,5.58,19,calibrated-ready,31,5.34,sensor-ready,5.34,6.59,sensor-ready,6.59,,,,67.45,sensor-ready,67.45,,,,12.85,sensor-ready,12.85,,,,,,
DCDBK0901,A9WY7XJ6,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.77947000,-122.40792100,,,,117.81,sensor-ready,117.81,21.06,sensor-ready,21.06,96.31,sensor-ready,96.31,115.00,sensor-ready,115.00,160.69,sensor-ready,160.69,108.31,sensor-ready,108.31,144.81,sensor-ready,144.81,135.62,sensor-ready,135.62,9.57,calibrated-ready,7.17,8,calibrated-ready,7,10,calibrated-ready,7,,,,,,,7.55,calibration-missing,,8,calibration-missing,,9.36,calibration-missing,,5.78,sensor-ready,5.78,7.06,sensor-ready,7.06,2.39,calibration-missing,,5.48,sensor-ready,5.48,5.06,calibrated-ready,5.06,5,calibrated-ready,5,6.27,calibrated-ready,6.08,4.91,calibrated-ready,5.20,27,calibrated-ready,29,5.71,sensor-ready,5.71,6.97,sensor-ready,6.97,,,,65.83,sensor-ready,65.83,,,,13.36,sensor-ready,13.36,,,,,,
DEVXA9067,ARY9KH49,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.78209800,-122.41532900,,,,139.10,sensor-ready,139.10,20.20,sensor-ready,20.20,118.50,sensor-ready,118.50,143.80,sensor-ready,143.80,142.65,sensor-ready,142.65,129.35,sensor-ready,129.35,140.50,sensor-ready,140.50,134.75,sensor-ready,134.75,11.44,calibrated-ready,9.64,10,calibrated-ready,8,11,calibrated-ready,10,,,,,,,8.33,calibration-missing,,8,calibration-missing,,10.38,calibration-missing,,5.80,sensor-ready,5.80,7.24,sensor-ready,7.24,2.31,calibration-missing,,5.46,sensor-ready,5.46,5.14,calibrated-ready,5.21,5,calibrated-ready,5,6.21,calibrated-ready,6.39,5.02,calibrated-ready,5.41,28,calibrated-ready,30,5.71,sensor-ready,5.71,7.14,sensor-ready,7.14,,,,66.57,sensor-ready,66.57,,,,13.19,sensor-ready,13.19,,,,,,
DGVIU8498,AGXKW9H6,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.72887100,-122.37440100,,,,135.40,sensor-ready,135.40,5.45,sensor-ready,5.45,129.85,sensor-ready,129.85,95.45,sensor-ready,95.45,113.30,sensor-ready,113.30,167.80,sensor-ready,167.80,104.15,sensor-ready,104.15,68.00,sensor-ready,68.00,11.75,calibrated-ready,10.90,10,calibrated-ready,9,12,calibrated-ready,11,,,,,,,7.07,calibration-missing,,7,calibration-missing,,8.95,calibration-missing,,5.62,sensor-ready,5.62,6.91,sensor-ready,6.91,2.33,calibration-missing,,5.29,sensor-ready,5.29,4.94,calibrated-ready,4.64,5,calibrated-ready,5,5.99,calibrated-ready,5.73,4.86,calibrated-ready,4.87,27,calibrated-ready,27,5.54,sensor-ready,5.54,6.82,sensor-ready,6.82,,,,70.00,sensor-ready,70.00,,,,12.29,sensor-ready,12.29,,,,,,
DNHZP3586,ACG3QXTF,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.76955900,-122.40685700,,,,127.21,sensor-ready,127.21,19.58,sensor-ready,19.58,107.21,sensor-ready,107.21,140.47,sensor-ready,140.47,125.26,sensor-ready,125.26,126.37,sensor-ready,126.37,140.95,sensor-ready,140.95,132.32,sensor-ready,132.32,9.41,calibrated-ready,8.04,8,calibrated-ready,8,9,calibrated-ready,8,,,,,,,9.17,calibration-missing,,9,calibration-missing,,11.40,calibration-missing,,4.67,sensor-ready,4.67,6.04,sensor-ready,6.04,1.77,calibration-missing,,4.42,sensor-ready,4.42,3.24,calibrated-ready,5.29,3,calibrated-ready,5,4.54,calibrated-ready,6.44,3.22,calibrated-ready,5.47,18,calibrated-ready,30,4.59,sensor-ready,4.59,5.95,sensor-ready,5.95,,,,67.07,sensor-ready,67.07,,,,13.01,sensor-ready,13.01,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.76610000,-122.39897100,,,,80.35,sensor-ready,80.35,16.40,sensor-ready,16.40,63.60,sensor-ready,63.60,98.65,sensor-ready,98.65,136.90,sensor-ready,136.90,79.55,sensor-ready,79.55,91.00,sensor-ready,91.00,111.70,sensor-ready,111.70,9.58,calibrated-ready,7.39,8,calibrated-ready,7,10,calibrated-ready,7,,,,,,,8.18,calibration-missing,,8,calibration-missing,,9.99,calibration-missing,,5.32,sensor-ready,5.32,6.70,sensor-ready,6.70,2.04,calibration-missing,,5.03,sensor-ready,5.03,3.52,calibrated-ready,5.15,4,calibrated-ready,5,4.51,calibrated-ready,6.15,3.46,calibrated-ready,5.22,19,calibrated-ready,29,5.24,sensor-ready,5.24,6.61,sensor-ready,6.61,,,,66.62,sensor-ready,66.62,,,,13.23,sensor-ready,13.23,,,,,,
DSARJ4044,ARC4GYFK,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.78378100,-122.41156100,,,,88.25,sensor-ready,88.25,11.25,sensor-ready,11.25,76.35,sensor-ready,76.35,91.65,sensor-ready,91.65,90.85,sensor-ready,90.85,84.10,sensor-ready,84.10,91.50,sensor-ready,91.50,115.45,sensor-ready,115.45,9.90,calibrated-ready,10.55,8,calibrated-ready,9,10,calibrated-ready,11,,,,,,,8.96,calibration-missing,,9,calibration-missing,,11.22,calibration-missing,,6.19,sensor-ready,6.19,7.91,sensor-ready,7.91,2.62,calibration-missing,,5.86,sensor-ready,5.86,4.31,calibrated-ready,5.50,4,calibrated-ready,6,5.72,calibrated-ready,6.67,4.49,calibrated-ready,5.83,24,calibrated-ready,32,6.11,sensor-ready,6.11,7.81,sensor-ready,7.81,,,,66.09,sensor-ready,66.09,,,,13.45,sensor-ready,13.45,,,,,,
DVCKP7679,AW7V74JH,CLARITY_NODE,hour,2025-04-25T07:00:00.000Z,2025-04-25T08:00:00.000Z,37.72515600,-122.39415600,,,,138.72,sensor-ready,138.72,13.56,sensor-ready,13.56,124.72,sensor-ready,124.72,140.72,sensor-ready,140.72,148.78,sensor-ready,148.78,146.50,sensor-ready,146.50,145.28,sensor-ready,145.28,117.22,sensor-ready,117.22,11.70,calibrated-ready,8.04,10,calibrated-ready,8,12,calibrated-ready,8,,,,,,,6.81,calibration-missing,,7,calibration-missing,,8.61,calibration-missing,,5.79,sensor-ready,5.79,7.57,sensor-ready,7.57,2.29,calibration-missing,,5.52,sensor-ready,5.52,4.14,calibrated-ready,4.83,4,calibrated-ready,5,5.41,calibrated-ready,5.95,4.10,calibrated-ready,5.03,23,calibrated-ready,28,5.73,sensor-ready,5.73,7.49,sensor-ready,7.49,,,,67.09,sensor-ready,67.09,,,,13.02,sensor-ready,13.02,,,,,,
DAJXS2653,A3GP6QHN,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.79429200,-122.40409800,,,,48.55,sensor-ready,48.55,10.40,sensor-ready,10.40,38.00,sensor-ready,38.00,50.55,sensor-ready,50.55,48.80,sensor-ready,48.80,43.95,sensor-ready,43.95,49.50,sensor-ready,49.50,43.50,sensor-ready,43.50,9.17,calibrated-ready,8.61,8,calibrated-ready,8,9,calibrated-ready,9,,,,,,,4.32,calibration-missing,,4,calibration-missing,,7.55,calibration-missing,,5.37,sensor-ready,5.37,8.33,sensor-ready,8.33,1.37,calibration-missing,,5.07,sensor-ready,5.07,3.53,calibrated-ready,4.22,4,calibrated-ready,4,6.23,calibrated-ready,5.82,3.94,calibrated-ready,4.67,22,calibrated-ready,26,5.35,sensor-ready,5.35,8.28,sensor-ready,8.28,,,,65.12,sensor-ready,65.12,,,,13.52,sensor-ready,13.52,,,,,,
DBUFQ1648,A9V4VJWX,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.73478700,-122.38956900,,,,89.86,sensor-ready,89.86,11.76,sensor-ready,11.76,77.81,sensor-ready,77.81,84.52,sensor-ready,84.52,93.24,sensor-ready,93.24,88.95,sensor-ready,88.95,79.90,sensor-ready,79.90,64.90,sensor-ready,64.90,6.84,calibrated-ready,6.69,6,calibrated-ready,6,7,calibrated-ready,7,,,,,,,8.59,calibration-missing,,9,calibration-missing,,10.75,calibration-missing,,5.13,sensor-ready,5.13,6.48,sensor-ready,6.48,1.90,calibration-missing,,4.83,sensor-ready,4.83,3.44,calibrated-ready,5.24,3,calibrated-ready,5,4.55,calibrated-ready,6.37,3.52,calibrated-ready,5.52,19,calibrated-ready,31,5.05,sensor-ready,5.05,6.39,sensor-ready,6.39,,,,66.45,sensor-ready,66.45,,,,12.90,sensor-ready,12.90,,,,,,
DCDBK0901,A9WY7XJ6,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.77947000,-122.40792100,,,,81.75,sensor-ready,81.75,12.00,sensor-ready,12.00,69.40,sensor-ready,69.40,96.60,sensor-ready,96.60,101.80,sensor-ready,101.80,90.95,sensor-ready,90.95,86.70,sensor-ready,86.70,93.80,sensor-ready,93.80,8.44,calibrated-ready,6.64,8,calibrated-ready,6,8,calibrated-ready,7,,,,,,,6.80,calibration-missing,,7,calibration-missing,,8.96,calibration-missing,,5.35,sensor-ready,5.35,6.86,sensor-ready,6.86,2.13,calibration-missing,,5.04,sensor-ready,5.04,4.60,calibrated-ready,4.84,5,calibrated-ready,5,6.05,calibrated-ready,5.95,4.83,calibrated-ready,5.13,27,calibrated-ready,28,5.28,sensor-ready,5.28,6.78,sensor-ready,6.78,,,,65.24,sensor-ready,65.24,,,,13.43,sensor-ready,13.43,,,,,,
DEVXA9067,ARY9KH49,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.78209800,-122.41532900,,,,138.53,sensor-ready,138.53,12.58,sensor-ready,12.58,125.58,sensor-ready,125.58,123.53,sensor-ready,123.53,140.74,sensor-ready,140.74,138.16,sensor-ready,138.16,116.68,sensor-ready,116.68,120.47,sensor-ready,120.47,9.90,calibrated-ready,8.89,8,calibrated-ready,8,10,calibrated-ready,9,,,,,,,7.50,calibration-missing,,8,calibration-missing,,9.92,calibration-missing,,5.23,sensor-ready,5.23,7.03,sensor-ready,7.03,2.03,calibration-missing,,4.93,sensor-ready,4.93,4.61,calibrated-ready,4.95,5,calibrated-ready,5,5.98,calibrated-ready,6.24,4.89,calibrated-ready,5.31,27,calibrated-ready,29,5.15,sensor-ready,5.15,6.93,sensor-ready,6.93,,,,66.06,sensor-ready,66.06,,,,13.22,sensor-ready,13.22,,,,,,
DGVIU8498,AGXKW9H6,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.72887100,-122.37440100,,,,89.45,sensor-ready,89.45,11.65,sensor-ready,11.65,77.60,sensor-ready,77.60,96.20,sensor-ready,96.20,86.85,sensor-ready,86.85,60.20,sensor-ready,60.20,101.05,sensor-ready,101.05,77.50,sensor-ready,77.50,11.33,calibrated-ready,11.33,10,calibrated-ready,10,11,calibrated-ready,11,,,,,,,6.45,calibration-missing,,6,calibration-missing,,8.57,calibration-missing,,5.38,sensor-ready,5.38,6.70,sensor-ready,6.70,2.19,calibration-missing,,5.09,sensor-ready,5.09,4.49,calibrated-ready,4.54,4,calibrated-ready,5,5.77,calibrated-ready,5.61,4.74,calibrated-ready,4.80,26,calibrated-ready,27,5.33,sensor-ready,5.33,6.62,sensor-ready,6.62,,,,68.86,sensor-ready,68.86,,,,12.43,sensor-ready,12.43,,,,,,
DNHZP3586,ACG3QXTF,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.76955900,-122.40685700,,,,112.95,sensor-ready,112.95,16.90,sensor-ready,16.90,95.62,sensor-ready,95.62,116.19,sensor-ready,116.19,114.52,sensor-ready,114.52,104.62,sensor-ready,104.62,121.71,sensor-ready,121.71,115.52,sensor-ready,115.52,8.40,calibrated-ready,7.80,8,calibrated-ready,7,8,calibrated-ready,8,,,,,,,8.49,calibration-missing,,8,calibration-missing,,10.97,calibration-missing,,4.14,sensor-ready,4.14,5.84,sensor-ready,5.84,1.38,calibration-missing,,3.91,sensor-ready,3.91,2.59,calibrated-ready,5.08,3,calibrated-ready,5,4.33,calibrated-ready,6.30,3.03,calibrated-ready,5.38,17,calibrated-ready,29,4.07,sensor-ready,4.07,5.75,sensor-ready,5.75,,,,66.46,sensor-ready,66.46,,,,13.05,sensor-ready,13.05,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.76610000,-122.39897100,,,,105.74,sensor-ready,105.74,22.37,sensor-ready,22.37,83.32,sensor-ready,83.32,148.53,sensor-ready,148.53,117.89,sensor-ready,117.89,131.11,sensor-ready,131.11,115.68,sensor-ready,115.68,155.74,sensor-ready,155.74,8.43,calibrated-ready,6.99,8,calibrated-ready,6,8,calibrated-ready,7,,,,,,,8.15,calibration-missing,,8,calibration-missing,,9.65,calibration-missing,,5.05,sensor-ready,5.05,6.51,sensor-ready,6.51,1.91,calibration-missing,,4.78,sensor-ready,4.78,3.22,calibrated-ready,5.15,3,calibrated-ready,5,4.33,calibrated-ready,6.04,3.36,calibrated-ready,5.21,18,calibrated-ready,29,4.97,sensor-ready,4.97,6.41,sensor-ready,6.41,,,,65.91,sensor-ready,65.91,,,,13.26,sensor-ready,13.26,,,,,,
DSARJ4044,ARC4GYFK,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.78378100,-122.41156100,,,,85.25,sensor-ready,85.25,8.05,sensor-ready,8.05,76.65,sensor-ready,76.65,85.00,sensor-ready,85.00,83.30,sensor-ready,83.30,84.35,sensor-ready,84.35,82.70,sensor-ready,82.70,106.20,sensor-ready,106.20,8.92,calibrated-ready,9.59,8,calibrated-ready,8,9,calibrated-ready,10,,,,,,,8.64,calibration-missing,,9,calibration-missing,,10.82,calibration-missing,,5.82,sensor-ready,5.82,7.68,sensor-ready,7.68,2.47,calibration-missing,,5.52,sensor-ready,5.52,3.90,calibrated-ready,5.39,4,calibrated-ready,5,5.49,calibrated-ready,6.53,4.25,calibrated-ready,5.74,23,calibrated-ready,32,5.74,sensor-ready,5.74,7.58,sensor-ready,7.58,,,,65.75,sensor-ready,65.75,,,,13.47,sensor-ready,13.47,,,,,,
DVCKP7679,AW7V74JH,CLARITY_NODE,hour,2025-04-25T08:00:00.000Z,2025-04-25T09:00:00.000Z,37.72515600,-122.39415600,,,,555.21,sensor-ready,555.21,13.37,sensor-ready,13.37,541.53,sensor-ready,541.53,569.47,sensor-ready,569.47,574.11,sensor-ready,574.11,571.32,sensor-ready,571.32,606.95,sensor-ready,606.95,517.42,sensor-ready,517.42,11.01,calibrated-ready,7.85,10,calibrated-ready,7,11,calibrated-ready,8,,,,,,,8.34,calibration-missing,,8,calibration-missing,,8.38,calibration-missing,,7.48,sensor-ready,7.48,7.44,sensor-ready,7.44,3.20,calibration-missing,,7.12,sensor-ready,7.12,5.69,calibrated-ready,5.51,6,calibrated-ready,6,5.30,calibrated-ready,5.87,4.83,calibrated-ready,5.12,27,calibrated-ready,28,7.40,sensor-ready,7.40,7.37,sensor-ready,7.37,,,,66.16,sensor-ready,66.16,,,,13.15,sensor-ready,13.15,,,,,,
