datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DAJXS2653,A3GP6QHN,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.79429200,-122.40409800,,,,26.42,sensor-ready,26.42,3.63,sensor-ready,3.63,22.68,sensor-ready,22.68,14.05,sensor-ready,14.05,20.58,sensor-ready,20.58,35.26,sensor-ready,35.26,33.74,sensor-ready,33.74,2.16,sensor-ready,2.16,9.56,calibrated-ready,7.55,8,calibrated-ready,7,10,calibrated-ready,8,,,,,,,1.35,calibration-missing,,1,calibration-missing,,2.39,calibration-missing,,1.90,sensor-ready,1.90,2.92,sensor-ready,2.92,0.04,calibration-missing,,1.76,sensor-ready,1.76,0.98,calibrated-ready,2.92,1,calibrated-ready,3,1.72,calibrated-ready,3.71,1.18,calibrated-ready,3.25,6,calibrated-ready,18,1.89,sensor-ready,1.89,2.90,sensor-ready,2.90,,,,65.65,sensor-ready,65.65,,,,12.63,sensor-ready,12.63,,,,,,
DBUFQ1648,A9V4VJWX,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.73478700,-122.38956900,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35,calibrated-ready,6.69,7,calibrated-ready,6,7,calibrated-ready,7,,,,,,,4.02,calibration-missing,,4,calibration-missing,,5.42,calibration-missing,,1.68,sensor-ready,1.68,2.22,sensor-ready,2.22,0.02,calibration-missing,,1.55,sensor-ready,1.55,0.55,calibrated-ready,3.53,1,calibrated-ready,4,1.07,calibrated-ready,4.33,0.66,calibrated-ready,3.88,3,calibrated-ready,21,1.63,sensor-ready,1.63,2.15,sensor-ready,2.15,,,,67.30,sensor-ready,67.30,,,,12.33,sensor-ready,12.33,,,,,,
DCDBK0901,A9WY7XJ6,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.77947000,-122.40792100,,,,59.05,sensor-ready,59.05,4.35,sensor-ready,4.35,54.60,sensor-ready,54.60,36.00,sensor-ready,36.00,27.15,sensor-ready,27.15,42.15,sensor-ready,42.15,28.55,sensor-ready,28.55,58.20,sensor-ready,58.20,9.00,calibrated-ready,6.30,8,calibrated-ready,6,9,calibrated-ready,6,,,,,,,3.23,calibration-missing,,3,calibration-missing,,3.88,calibration-missing,,2.22,sensor-ready,2.22,2.54,sensor-ready,2.54,0.31,calibration-missing,,2.07,sensor-ready,2.07,1.91,calibrated-ready,3.40,2,calibrated-ready,3,2.28,calibrated-ready,4.02,2.01,calibrated-ready,3.67,11,calibrated-ready,20,2.17,sensor-ready,2.17,2.48,sensor-ready,2.48,,,,66.58,sensor-ready,66.58,,,,12.59,sensor-ready,12.59,,,,,,
DEVXA9067,ARY9KH49,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.78209800,-122.41532900,,,,52.20,sensor-ready,52.20,-0.60,sensor-ready,-0.60,52.75,sensor-ready,52.75,16.35,sensor-ready,16.35,17.30,sensor-ready,17.30,43.90,sensor-ready,43.90,46.75,sensor-ready,46.75,27.30,sensor-ready,27.30,10.31,calibrated-ready,9.21,9,calibrated-ready,8,10,calibrated-ready,9,,,,,,,3.56,calibration-missing,,4,calibration-missing,,4.45,calibration-missing,,2.16,sensor-ready,2.16,2.59,sensor-ready,2.59,0.17,calibration-missing,,1.99,sensor-ready,1.99,1.91,calibrated-ready,3.41,2,calibrated-ready,3,2.23,calibrated-ready,4.16,2.11,calibrated-ready,3.82,12,calibrated-ready,21,2.10,sensor-ready,2.10,2.52,sensor-ready,2.52,,,,67.79,sensor-ready,67.79,,,,12.27,sensor-ready,12.27,,,,,,
DFPAI0612,AFQMFLFR,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.79721100,-122.40910900,,,,93.80,sensor-ready,93.80,5.90,sensor-ready,5.90,87.65,sensor-ready,87.65,57.35,sensor-ready,57.35,50.55,sensor-ready,50.55,94.40,sensor-ready,94.40,94.55,sensor-ready,94.55,54.80,sensor-ready,54.80,10.74,calibrated-ready,6.06,9,calibrated-ready,6,11,calibrated-ready,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34,sensor-ready,66.34,,,,11.77,sensor-ready,11.77,,,,,,
DGVIU8498,AGXKW9H6,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.72887100,-122.37440100,,,,92.45,sensor-ready,92.45,8.65,sensor-ready,8.65,83.75,sensor-ready,83.75,54.65,sensor-ready,54.65,51.60,sensor-ready,51.60,75.35,sensor-ready,75.35,78.15,sensor-ready,78.15,59.55,sensor-ready,59.55,12.22,calibrated-ready,11.36,11,calibrated-ready,10,12,calibrated-ready,11,,,,,,,2.58,calibration-missing,,3,calibration-missing,,3.52,calibration-missing,,1.76,sensor-ready,1.76,2.19,sensor-ready,2.19,0.10,calibration-missing,,1.63,sensor-ready,1.63,1.43,calibrated-ready,3.04,1,calibrated-ready,3,1.95,calibrated-ready,3.72,1.49,calibrated-ready,3.23,8,calibrated-ready,18,1.71,sensor-ready,1.71,2.13,sensor-ready,2.13,,,,69.35,sensor-ready,69.35,,,,11.97,sensor-ready,11.97,,,,,,
DNHZP3586,ACG3QXTF,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.76955900,-122.40685700,,,,148.60,sensor-ready,148.60,14.75,sensor-ready,14.75,133.85,sensor-ready,133.85,107.70,sensor-ready,107.70,126.55,sensor-ready,126.55,151.00,sensor-ready,151.00,100.05,sensor-ready,100.05,132.85,sensor-ready,132.85,10.38,calibrated-ready,8.61,9,calibrated-ready,8,10,calibrated-ready,9,,,,,,,4.53,calibration-missing,,5,calibration-missing,,5.21,calibration-missing,,1.80,sensor-ready,1.80,2.07,sensor-ready,2.07,0.06,calibration-missing,,1.67,sensor-ready,1.67,0.70,calibrated-ready,3.63,1,calibrated-ready,4,0.94,calibrated-ready,4.22,0.82,calibrated-ready,3.98,4,calibrated-ready,22,1.74,sensor-ready,1.74,2.00,sensor-ready,2.00,,,,68.49,sensor-ready,68.49,,,,12.29,sensor-ready,12.29,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.76610000,-122.39897100,,,,134.60,sensor-ready,134.60,8.90,sensor-ready,8.90,125.60,sensor-ready,125.60,124.25,sensor-ready,124.25,106.35,sensor-ready,106.35,121.30,sensor-ready,121.30,146.85,sensor-ready,146.85,104.20,sensor-ready,104.20,9.99,calibrated-ready,7.35,8,calibrated-ready,7,10,calibrated-ready,7,,,,,,,4.48,calibration-missing,,4,calibration-missing,,4.47,calibration-missing,,1.94,sensor-ready,1.94,2.09,sensor-ready,2.09,0.02,calibration-missing,,1.79,sensor-ready,1.79,0.93,calibrated-ready,3.65,1,calibrated-ready,4,0.91,calibrated-ready,4.07,0.99,calibrated-ready,3.86,5,calibrated-ready,21,1.87,sensor-ready,1.87,2.03,sensor-ready,2.03,,,,67.97,sensor-ready,67.97,,,,12.53,sensor-ready,12.53,,,,,,
DSARJ4044,ARC4GYFK,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.78378100,-122.41156100,,,,48.89,sensor-ready,48.89,1.84,sensor-ready,1.84,47.05,sensor-ready,47.05,29.95,sensor-ready,29.95,30.32,sensor-ready,30.32,63.68,sensor-ready,63.68,19.95,sensor-ready,19.95,42.84,sensor-ready,42.84,9.90,calibrated-ready,10.55,8,calibrated-ready,9,10,calibrated-ready,11,,,,,,,5.01,calibration-missing,,5,calibration-missing,,5.45,calibration-missing,,2.86,sensor-ready,2.86,2.99,sensor-ready,2.99,0.72,calibration-missing,,2.67,sensor-ready,2.67,1.71,calibrated-ready,3.99,2,calibrated-ready,4,1.69,calibrated-ready,4.48,1.67,calibrated-ready,4.27,9,calibrated-ready,23,2.80,sensor-ready,2.80,2.92,sensor-ready,2.92,,,,66.24,sensor-ready,66.24,,,,12.75,sensor-ready,12.75,,,,,,
DVCKP7679,AW7V74JH,CLARITY_NODE,hour,2025-03-04T08:00:00.000Z,2025-03-04T09:00:00.000Z,37.72515600,-122.39415600,,,,50.47,sensor-ready,50.47,4.74,sensor-ready,4.74,45.63,sensor-ready,45.63,57.74,sensor-ready,57.74,30.58,sensor-ready,30.58,42.05,sensor-ready,42.05,50.74,sensor-ready,50.74,24.53,sensor-ready,24.53,11.24,calibrated-ready,8.51,10,calibrated-ready,8,11,calibrated-ready,9,,,,,,,1.83,calibration-missing,,2,calibration-missing,,3.43,calibration-missing,,1.59,sensor-ready,1.59,2.55,sensor-ready,2.55,0.01,calibration-missing,,1.50,sensor-ready,1.50,0.97,calibrated-ready,2.97,1,calibrated-ready,3,1.78,calibrated-ready,3.82,1.20,calibrated-ready,3.27,7,calibrated-ready,18,1.55,sensor-ready,1.55,2.49,sensor-ready,2.49,,,,66.35,sensor-ready,66.35,,,,12.74,sensor-ready,12.74,,,,,,
