datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DAJXS2653,A3GP6QHN,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.79429200,-122.40409800,,,,75.25,sensor-ready,75.25,13.55,sensor-ready,13.55,61.25,sensor-ready,61.25,74.20,sensor-ready,74.20,95.75,sensor-ready,95.75,65.05,sensor-ready,65.05,84.20,sensor-ready,84.20,86.00,sensor-ready,86.00,10.79,calibrated-ready,8.52,9,calibrated-ready,8,11,calibrated-ready,9,,,,,,,4.10,calibration-missing,,4,calibration-missing,,4.62,calibration-missing,,6.23,sensor-ready,6.23,6.27,sensor-ready,6.27,1.70,calibration-missing,,5.93,sensor-ready,5.93,3.72,calibrated-ready,4.08,4,calibrated-ready,4,4.06,calibrated-ready,4.28,3.69,calibrated-ready,4.30,20,calibrated-ready,24,6.21,sensor-ready,6.21,6.24,sensor-ready,6.24,,,,68.54,sensor-ready,68.54,,,,16.96,sensor-ready,16.96,,,,,,
DBUFQ1648,A9V4VJWX,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.73478700,-122.38956900,,,,12.65,sensor-ready,12.65,3.40,sensor-ready,3.40,9.20,sensor-ready,9.20,41.60,sensor-ready,41.60,59.55,sensor-ready,59.55,17.50,sensor-ready,17.50,25.55,sensor-ready,25.55,2.00,sensor-ready,2.00,9.30,calibrated-ready,6.44,8,calibrated-ready,6,9,calibrated-ready,6,,,,,,,6.33,calibration-missing,,6,calibration-missing,,6.15,calibration-missing,,4.71,sensor-ready,4.71,4.96,sensor-ready,4.96,1.88,calibration-missing,,4.50,sensor-ready,4.50,2.82,calibrated-ready,4.36,3,calibrated-ready,4,2.93,calibrated-ready,4.46,2.38,calibrated-ready,4.20,13,calibrated-ready,23,4.66,sensor-ready,4.66,4.91,sensor-ready,4.91,,,,70.51,sensor-ready,70.51,,,,16.27,sensor-ready,16.27,,,,,,
DCDBK0901,A9WY7XJ6,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.77947000,-122.40792100,,,,121.70,sensor-ready,121.70,32.45,sensor-ready,32.45,88.85,sensor-ready,88.85,122.25,sensor-ready,122.25,136.85,sensor-ready,136.85,121.90,sensor-ready,121.90,132.35,sensor-ready,132.35,138.30,sensor-ready,138.30,8.86,calibrated-ready,6.10,8,calibrated-ready,6,9,calibrated-ready,6,,,,,,,5.30,calibration-missing,,5,calibration-missing,,4.67,calibration-missing,,5.38,sensor-ready,5.38,4.99,sensor-ready,4.99,2.23,calibration-missing,,5.10,sensor-ready,5.10,4.27,calibrated-ready,4.25,4,calibrated-ready,4,3.78,calibrated-ready,4.09,3.64,calibrated-ready,3.99,20,calibrated-ready,22,5.32,sensor-ready,5.32,4.94,sensor-ready,4.94,,,,68.32,sensor-ready,68.32,,,,16.93,sensor-ready,16.93,,,,,,
DEVXA9067,ARY9KH49,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.78209800,-122.41532900,,,,69.63,sensor-ready,69.63,4.74,sensor-ready,4.74,64.84,sensor-ready,64.84,51.16,sensor-ready,51.16,80.58,sensor-ready,80.58,71.95,sensor-ready,71.95,38.53,sensor-ready,38.53,25.79,sensor-ready,25.79,10.33,calibrated-ready,7.47,9,calibrated-ready,7,10,calibrated-ready,7,,,,,,,4.47,calibration-missing,,4,calibration-missing,,5.32,calibration-missing,,4.72,sensor-ready,4.72,5.53,sensor-ready,5.53,1.64,calibration-missing,,4.49,sensor-ready,4.49,3.49,calibrated-ready,3.86,3,calibrated-ready,4,4.01,calibrated-ready,4.30,3.24,calibrated-ready,4.00,18,calibrated-ready,22,4.67,sensor-ready,4.67,5.47,sensor-ready,5.47,,,,70.12,sensor-ready,70.12,,,,16.51,sensor-ready,16.51,,,,,,
DGVIU8498,AGXKW9H6,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.72887100,-122.37440100,,,,80.21,sensor-ready,80.21,9.00,sensor-ready,9.00,70.95,sensor-ready,70.95,77.42,sensor-ready,77.42,64.32,sensor-ready,64.32,83.00,sensor-ready,83.00,74.47,sensor-ready,74.47,48.79,sensor-ready,48.79,12.23,calibrated-ready,10.98,11,calibrated-ready,9,12,calibrated-ready,11,,,,,,,3.74,calibration-missing,,4,calibration-missing,,5.31,calibration-missing,,4.63,sensor-ready,4.63,5.77,sensor-ready,5.77,1.27,calibration-missing,,4.40,sensor-ready,4.40,3.01,calibrated-ready,3.54,3,calibrated-ready,4,4.31,calibrated-ready,4.13,2.76,calibrated-ready,3.61,15,calibrated-ready,20,4.58,sensor-ready,4.58,5.72,sensor-ready,5.72,,,,72.66,sensor-ready,72.66,,,,15.63,sensor-ready,15.63,,,,,,
DNHZP3586,ACG3QXTF,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.76955900,-122.40685700,,,,190.68,sensor-ready,190.68,15.37,sensor-ready,15.37,175.00,sensor-ready,175.00,147.63,sensor-ready,147.63,177.26,sensor-ready,177.26,184.53,sensor-ready,184.53,162.58,sensor-ready,162.58,97.63,sensor-ready,97.63,9.48,calibrated-ready,6.47,8,calibrated-ready,6,9,calibrated-ready,6,,,,,,,5.44,calibration-missing,,5,calibration-missing,,5.75,calibration-missing,,3.85,sensor-ready,3.85,4.01,sensor-ready,4.01,1.25,calibration-missing,,3.67,sensor-ready,3.67,2.08,calibrated-ready,4.08,2,calibrated-ready,4,2.45,calibrated-ready,4.34,1.91,calibrated-ready,4.20,11,calibrated-ready,23,3.80,sensor-ready,3.80,3.96,sensor-ready,3.96,,,,69.37,sensor-ready,69.37,,,,16.49,sensor-ready,16.49,,,,,,
DPANQ2934,APQ6QPGM,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.76610000,-122.39897100,,,,205.65,sensor-ready,205.65,43.55,sensor-ready,43.55,161.50,sensor-ready,161.50,220.55,sensor-ready,220.55,223.90,sensor-ready,223.90,183.80,sensor-ready,183.80,203.10,sensor-ready,203.10,206.65,sensor-ready,206.65,8.67,calibrated-ready,5.97,8,calibrated-ready,5,9,calibrated-ready,6,,,,,,,4.26,calibration-missing,,4,calibration-missing,,5.05,calibration-missing,,4.45,sensor-ready,4.45,4.83,sensor-ready,4.83,0.99,calibration-missing,,4.25,sensor-ready,4.25,1.86,calibrated-ready,3.81,2,calibrated-ready,4,2.38,calibrated-ready,4.14,1.54,calibrated-ready,3.83,8,calibrated-ready,21,4.41,sensor-ready,4.41,4.78,sensor-ready,4.78,,,,70.78,sensor-ready,70.78,,,,16.47,sensor-ready,16.47,,,,,,
DSARJ4044,ARC4GYFK,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.78378100,-122.41156100,,,,91.00,sensor-ready,91.00,40.10,sensor-ready,40.10,50.50,sensor-ready,50.50,116.45,sensor-ready,116.45,143.85,sensor-ready,143.85,80.15,sensor-ready,80.15,138.55,sensor-ready,138.55,129.30,sensor-ready,129.30,9.09,calibrated-ready,8.76,8,calibrated-ready,8,9,calibrated-ready,9,,,,,,,5.97,calibration-missing,,6,calibration-missing,,6.27,calibration-missing,,5.77,sensor-ready,5.77,5.70,sensor-ready,5.70,2.27,calibration-missing,,5.51,sensor-ready,5.51,3.45,calibrated-ready,4.49,3,calibrated-ready,4,3.45,calibrated-ready,4.56,3.21,calibrated-ready,4.50,18,calibrated-ready,25,5.72,sensor-ready,5.72,5.64,sensor-ready,5.64,,,,68.96,sensor-ready,68.96,,,,17.04,sensor-ready,17.04,,,,,,
DSUSD5545,ATMWFH4K,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.79721100,-122.40910900,,,,142.80,sensor-ready,142.80,35.25,sensor-ready,35.25,107.15,sensor-ready,107.15,205.20,sensor-ready,205.20,154.80,sensor-ready,154.80,152.70,sensor-ready,152.70,183.30,sensor-ready,183.30,127.95,sensor-ready,127.95,11.40,calibrated-ready,11.71,10,calibrated-ready,10,11,calibrated-ready,12,,,,,,,6.00,calibration-missing,,6,calibration-missing,,6.16,calibration-missing,,6.01,sensor-ready,6.01,6.29,sensor-ready,6.29,2.75,calibration-missing,,5.69,sensor-ready,5.69,4.97,calibrated-ready,4.44,5,calibrated-ready,4,5.19,calibrated-ready,4.62,4.87,calibrated-ready,4.52,27,calibrated-ready,25,5.95,sensor-ready,5.95,6.23,sensor-ready,6.23,,,,69.35,sensor-ready,69.35,,,,16.77,sensor-ready,16.77,,,,,,
DVCKP7679,AW7V74JH,CLARITY_NODE,hour,2025-07-08T05:00:00.000Z,2025-07-08T06:00:00.000Z,37.72515600,-122.39415600,,,,4871.32,sensor-ready,4871.32,-19.68,sensor-ready,-19.68,4890.95,sensor-ready,4890.95,-36636.26,sensor-ready,-36636.26,-41099.21,sensor-ready,-41099.21,-68217.26,sensor-ready,-68217.26,-49891.21,sensor-ready,-49891.21,-30746.47,sensor-ready,-30746.47,13.14,calibrated-ready,8.30,12,calibrated-ready,8,13,calibrated-ready,8,,,,,,,3.72,calibration-missing,,4,calibration-missing,,4.40,calibration-missing,,4.77,sensor-ready,4.77,5.09,sensor-ready,5.09,1.07,calibration-missing,,4.57,sensor-ready,4.57,1.89,calibrated-ready,3.77,2,calibrated-ready,4,2.56,calibrated-ready,4.05,1.61,calibrated-ready,3.80,9,calibrated-ready,21,4.73,sensor-ready,4.73,5.04,sensor-ready,5.04,,,,69.75,sensor-ready,69.75,,,,16.46,sensor-ready,16.46,,,,,,
