datasourceId,sourceId,sourceType,outputFrequency,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,atmPressure1HourMean.raw,atmPressure1HourMean.status,atmPressure1HourMean.value,bcAllSources1HourMean.raw,bcAllSources1HourMean.status,bcAllSources1HourMean.value,bcBiomass1HourMean.raw,bcBiomass1HourMean.status,bcBiomass1HourMean.value,bcFossilFuel1HourMean.raw,bcFossilFuel1HourMean.status,bcFossilFuel1HourMean.value,bcSpectralB1HourMean.raw,bcSpectralB1HourMean.status,bcSpectralB1HourMean.value,bcSpectralG1HourMean.raw,bcSpectralG1HourMean.status,bcSpectralG1HourMean.value,bcSpectralIR1HourMean.raw,bcSpectralIR1HourMean.status,bcSpectralIR1HourMean.value,bcSpectralR1HourMean.raw,bcSpectralR1HourMean.status,bcSpectralR1HourMean.value,bcSpectralUV1HourMean.raw,bcSpectralUV1HourMean.status,bcSpectralUV1HourMean.value,no2Conc1HourMean.raw,no2Conc1HourMean.status,no2Conc1HourMean.value,no2Conc1HourMeanUsEpaAqi.raw,no2Conc1HourMeanUsEpaAqi.status,no2Conc1HourMeanUsEpaAqi.value,no2Conc1HourMeanWaDwerAqi.raw,no2Conc1HourMeanWaDwerAqi.status,no2Conc1HourMeanWaDwerAqi.value,o3Conc1HourMean.raw,o3Conc1HourMean.status,o3Conc1HourMean.value,o3Conc1HourMeanWaDwerAqi.raw,o3Conc1HourMeanWaDwerAqi.status,o3Conc1HourMeanWaDwerAqi.value,pm10ConcMass1HourMean.raw,pm10ConcMass1HourMean.status,pm10ConcMass1HourMean.value,pm10ConcMass1HourMeanWaDwerAqi.raw,pm10ConcMass1HourMeanWaDwerAqi.status,pm10ConcMass1HourMeanWaDwerAqi.value,pm10ConcMass24HourRollingMean.raw,pm10ConcMass24HourRollingMean.status,pm10ConcMass24HourRollingMean.value,pm10ConcNum1HourMean.raw,pm10ConcNum1HourMean.status,pm10ConcNum1HourMean.value,pm10ConcNum24HourRollingMean.raw,pm10ConcNum24HourRollingMean.status,pm10ConcNum24HourRollingMean.value,pm1ConcMass1HourMean.raw,pm1ConcMass1HourMean.status,pm1ConcMass1HourMean.value,pm1ConcNum1HourMean.raw,pm1ConcNum1HourMean.status,pm1ConcNum1HourMean.value,pm2_5ConcMass1HourMean.raw,pm2_5ConcMass1HourMean.status,pm2_5ConcMass1HourMean.value,pm2_5ConcMass1HourMeanWaDwerAqi.raw,pm2_5ConcMass1HourMeanWaDwerAqi.status,pm2_5ConcMass1HourMeanWaDwerAqi.value,pm2_5ConcMass24HourRollingMean.raw,pm2_5ConcMass24HourRollingMean.status,pm2_5ConcMass24HourRollingMean.value,pm2_5ConcMassNowcast.raw,pm2_5ConcMassNowcast.status,pm2_5ConcMassNowcast.value,pm2_5ConcMassNowcastUsEpaAqi.raw,pm2_5ConcMassNowcastUsEpaAqi.status,pm2_5ConcMassNowcastUsEpaAqi.value,pm2_5ConcNum1HourMean.raw,pm2_5ConcNum1HourMean.status,pm2_5ConcNum1HourMean.value,pm2_5ConcNum24HourRollingMean.raw,pm2_5ConcNum24HourRollingMean.status,pm2_5ConcNum24HourRollingMean.value,relHumidAmbient1HourMean.raw,relHumidAmbient1HourMean.status,relHumidAmbient1HourMean.value,relHumidInternal1HourMean.raw,relHumidInternal1HourMean.status,relHumidInternal1HourMean.value,temperatureAmbient1HourMean.raw,temperatureAmbient1HourMean.status,temperatureAmbient1HourMean.value,temperatureInternal1HourMean.raw,temperatureInternal1HourMean.status,temperatureInternal1HourMean.value,windDirection1HourMean.raw,windDirection1HourMean.status,windDirection1HourMean.value,windSpeed1HourMean.raw,windSpeed1HourMean.status,windSpeed1HourMean.value
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T07:00:00.000Z,2024-10-01T08:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.14,calibrated-ready,27.28,25,calibrated-ready,25,26,calibrated-ready,27,,,,,,,12.47,calibration-missing,,12,calibration-missing,,18,calibration-missing,,12.75,sensor-ready,12.75,13.88,sensor-ready,13.88,5.83,calibration-missing,,11.99,sensor-ready,11.99,11.17,calibrated-ready,8.42,11,calibrated-ready,8,13.93,calibrated-ready,9.17,13.68,calibrated-ready,10.07,59,calibrated-ready,53,12.62,sensor-ready,12.62,13.71,sensor-ready,13.71,,,,52.1,sensor-ready,52.1,,,,21.49,sensor-ready,21.49,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T08:00:00.000Z,2024-10-01T09:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19,calibrated-ready,17.49,14,calibrated-ready,16,15,calibrated-ready,17,,,,,,,9.85,calibration-missing,,10,calibration-missing,,17.45,calibration-missing,,9.95,sensor-ready,9.95,13.79,sensor-ready,13.79,4.14,calibration-missing,,9.38,sensor-ready,9.38,8.19,calibrated-ready,7.26,8,calibrated-ready,7,13.62,calibrated-ready,9.13,10.94,calibrated-ready,8.68,54,calibrated-ready,48,9.85,sensor-ready,9.85,13.62,sensor-ready,13.62,,,,50.99,sensor-ready,50.99,,,,20.94,sensor-ready,20.94,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T09:00:00.000Z,2024-10-01T10:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77,calibrated-ready,17.87,14,calibrated-ready,16,16,calibrated-ready,18,,,,,,,8.38,calibration-missing,,8,calibration-missing,,16.78,calibration-missing,,8.7,sensor-ready,8.7,13.62,sensor-ready,13.62,3.51,calibration-missing,,8.16,sensor-ready,8.16,7.09,calibrated-ready,6.52,7,calibrated-ready,7,13.25,calibrated-ready,9.04,9.01,calibrated-ready,7.54,50,calibrated-ready,42,8.61,sensor-ready,8.61,13.46,sensor-ready,13.46,,,,52.62,sensor-ready,52.62,,,,20.86,sensor-ready,20.86,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T10:00:00.000Z,2024-10-01T11:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.77,calibrated-ready,23.64,23,calibrated-ready,22,25,calibrated-ready,24,,,,,,,9.5,calibration-missing,,10,calibration-missing,,16.25,calibration-missing,,9.63,sensor-ready,9.63,13.5,sensor-ready,13.5,4.09,calibration-missing,,9.05,sensor-ready,9.05,7.77,calibrated-ready,6.65,8,calibrated-ready,7,12.93,calibrated-ready,8.98,8.39,calibrated-ready,7.09,46,calibrated-ready,39,9.54,sensor-ready,9.54,13.35,sensor-ready,13.35,,,,57.65,sensor-ready,57.65,,,,20.2,sensor-ready,20.2,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T11:00:00.000Z,2024-10-01T12:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.62,calibrated-ready,31.26,33,calibrated-ready,29,36,calibrated-ready,31,,,,,,,10.53,calibration-missing,,11,calibration-missing,,15.85,calibration-missing,,10.18,sensor-ready,10.18,13.42,sensor-ready,13.42,4.59,calibration-missing,,9.56,sensor-ready,9.56,8.82,calibrated-ready,6.63,9,calibrated-ready,7,12.67,calibrated-ready,8.95,8.6,calibrated-ready,6.86,48,calibrated-ready,38,10.08,sensor-ready,10.08,13.27,sensor-ready,13.27,,,,62.84,sensor-ready,62.84,,,,19.28,sensor-ready,19.28,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T12:00:00.000Z,2024-10-01T13:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37,calibrated-ready,20.37,20,calibrated-ready,19,21,calibrated-ready,20,,,,,,,8.27,calibration-missing,,8,calibration-missing,,15.25,calibration-missing,,8.62,sensor-ready,8.62,13.24,sensor-ready,13.24,3.72,calibration-missing,,8.06,sensor-ready,8.06,7.21,calibrated-ready,5.94,7,calibrated-ready,6,12.3,calibrated-ready,8.88,7.9,calibrated-ready,6.4,44,calibrated-ready,36,8.54,sensor-ready,8.54,13.1,sensor-ready,13.1,,,,60.78,sensor-ready,60.78,,,,19.01,sensor-ready,19.01,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T13:00:00.000Z,2024-10-01T14:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.61,calibrated-ready,26.81,27,calibrated-ready,25,30,calibrated-ready,27,,,,,,,10.95,calibration-missing,,11,calibration-missing,,14.72,calibration-missing,,10.28,sensor-ready,10.28,13.07,sensor-ready,13.07,4.48,calibration-missing,,9.64,sensor-ready,9.64,8.82,calibrated-ready,6.69,9,calibrated-ready,7,11.95,calibrated-ready,8.83,8.36,calibrated-ready,6.54,46,calibrated-ready,36,10.17,sensor-ready,10.17,12.93,sensor-ready,12.93,,,,63.67,sensor-ready,63.67,,,,18.94,sensor-ready,18.94,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T14:00:00.000Z,2024-10-01T15:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.28,calibrated-ready,30.99,30,calibrated-ready,28,32,calibrated-ready,31,,,,,,,10.65,calibration-missing,,11,calibration-missing,,14.15,calibration-missing,,11.77,sensor-ready,11.77,12.99,sensor-ready,12.99,5.45,calibration-missing,,11.14,sensor-ready,11.14,9.46,calibrated-ready,6.97,9,calibrated-ready,7,11.69,calibrated-ready,8.78,8.91,calibrated-ready,6.76,49,calibrated-ready,37,11.68,sensor-ready,11.68,12.86,sensor-ready,12.86,,,,62.19,sensor-ready,62.19,,,,19.02,sensor-ready,19.02,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T15:00:00.000Z,2024-10-01T16:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.29,calibrated-ready,25.15,24,calibrated-ready,24,25,calibrated-ready,25,,,,,,,8.57,calibration-missing,,9,calibration-missing,,13.53,calibration-missing,,9.79,sensor-ready,9.79,12.77,sensor-ready,12.77,4.4,calibration-missing,,9.29,sensor-ready,9.29,7.66,calibrated-ready,6.18,8,calibrated-ready,6,11.25,calibrated-ready,8.71,8.29,calibrated-ready,6.47,46,calibrated-ready,36,9.71,sensor-ready,9.71,12.64,sensor-ready,12.64,,,,61.28,sensor-ready,61.28,,,,19.68,sensor-ready,19.68,,,,,,
DCGTP7988,A1LDYFNJ,CLARITY_NODE,hour,2024-10-01T16:00:00.000Z,2024-10-01T17:00:00.000Z,37.79463,-122.40591,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,calibrated-ready,14.95,2,calibrated-ready,13,2,calibrated-ready,15,,,,,,,6.85,calibration-missing,,7,calibration-missing,,12.9,calibration-missing,,8.34,sensor-ready,8.34,12.5,sensor-ready,12.5,3.19,calibration-missing,,7.91,sensor-ready,7.91,6.24,calibrated-ready,6.24,6,calibrated-ready,6,10.85,calibrated-ready,8.62,7.26,calibrated-ready,6.36,40,calibrated-ready,35,8.27,sensor-ready,8.27,12.38,sensor-ready,12.38,,,,48.64,sensor-ready,48.64,,,,23.12,sensor-ready,23.12,,,,,,
