cmp_segid,cmp_name,cmp_from,cmp_to,direction,length,geometry
79,Doyle/Lombard/Richardson,Lyon/Francisco,Van Ness,E,1.290043373,"{""type"":""LineString"",""coordinates"":[[-122.424501186879,37.8010945357444],[-122.426151562464,37.8008896144025],[-122.427789937464,37.8006756946505],[-122.427791187331,37.8006755354601],[-122.42944157049,37.8004706136537],[-122.43108095332,37.8002566926097],[-122.431082024987,37.8002565557119],[-122.432722025388,37.800051557764],[-122.434372562721,37.7998466156617],[-122.436010938343,37.799632696199],[-122.436012188064,37.7996325370269],[-122.437662568198,37.7994276147414],[-122.439301944029,37.7992136958117],[-122.440940935245,37.798999698016],[-122.440942518053,37.7989994977713],[-122.442615993035,37.7987945608349],[-122.444289468321,37.7985806293266],[-122.444319442793,37.7985790680849],[-122.444709444394,37.7985880668892],[-122.444745015006,37.7985920921682],[-122.444779298248,37.7986023941419],[-122.444811195795,37.7986186427684],[-122.446056830442,37.7994009013221],[-122.446292328178,37.7995323904166],[-122.446311702132,37.799544717618],[-122.447240701939,37.8002137162]]}"
80,Doyle/Lombard/Richardson,Van Ness,Lyon/Francisco,W,1.290043373,"{""type"":""LineString"",""coordinates"":[[-122.44700695273,37.8005383102656],[-122.446087285476,37.7998760323137],[-122.445857329318,37.7997476373346],[-122.445848465043,37.7997423840026],[-122.444645129635,37.7989866893713],[-122.444325261721,37.7989793088151],[-122.442666190012,37.7991913990179],[-122.442665139831,37.7991915304463],[-122.44099193139,37.7993964347418],[-122.439353723522,37.7996103302581],[-122.437713707822,37.7998243326838],[-122.437712473697,37.7998244898201],[-122.436062101368,37.8000294111365],[-122.434423725761,37.8002433305973],[-122.434422476067,37.8002434897661],[-122.432771557498,37.8004484791376],[-122.431132174398,37.8006533999236],[-122.429492710278,37.8008673315751],[-122.42949147591,37.8008674887426],[-122.427841100506,37.801072409586],[-122.426202725533,37.8012863293343],[-122.426201475723,37.8012864885177],[-122.424550474982,37.801491487483]]}"
241,US-101,Market,I-80,S,1.166088291,"{""type"":""LineString"",""coordinates"":[[-122.405431867794,37.7661802307153],[-122.405685823162,37.7673861669432],[-122.405988107208,37.767809817354],[-122.406136616957,37.7679869150167],[-122.406296608992,37.7681147374378],[-122.406415444994,37.7681818426524],[-122.40681990492,37.7683655994191],[-122.407151844204,37.7684695883531],[-122.407442471269,37.7685354243734],[-122.407764652702,37.7685694308405],[-122.407765716439,37.7685695459965],[-122.408346442938,37.7686339852386],[-122.408376105606,37.7686395682916],[-122.408995534917,37.7688053930604],[-122.411141963998,37.7691541452769],[-122.412215280519,37.7691815529375],[-122.412223247269,37.7691819154254],[-122.413106659612,37.7692397797948],[-122.414855316492,37.7692715102748],[-122.414864410838,37.7692718824456],[-122.415777054179,37.7693300575102],[-122.415777720713,37.7693301011151],[-122.415825949533,37.7693333371519],[-122.417377793776,37.769437462137],[-122.417396811612,37.7694396564809],[-122.41892839308,37.7696911517176],[-122.4202138759,37.76981908427],[-122.420880344671,37.7698353785723],[-122.420930412923,37.7698430175527],[-122.421988717958,37.7701454636855],[-122.422020054989,37.7701573392925],[-122.422048969242,37.7701742805284],[-122.422985733109,37.7708344199739],[-122.423014375478,37.7708589543276],[-122.423037902823,37.7708884294676],[-122.423554155507,37.7716777343398]]}"
236,US-101,I-80,Market,N,1.269057907,"{""type"":""LineString"",""coordinates"":[[-122.423130260705,37.7719808039235],[-122.42264024087,37.7712140062935],[-122.421815149968,37.7706074105677],[-122.420828518886,37.7703446942024],[-122.419649735403,37.7702877727305],[-122.419633951333,37.7702863821364],[-122.418961845796,37.7702002229203],[-122.418960979568,37.7702001099526],[-122.417972823287,37.7700690457459],[-122.417535787668,37.7700214635944],[-122.416393928669,37.7698971439609],[-122.415601685448,37.7698314685281],[-122.413816952015,37.7697972360871],[-122.413811081059,37.769797037193],[-122.412889015522,37.7697522347535],[-122.411787388052,37.769724110957],[-122.411783088103,37.7697239548824],[-122.409946160918,37.7696374855533],[-122.409694014343,37.7697129319109],[-122.409390638556,37.7698877962187],[-122.409386406407,37.7698901676968],[-122.409070429667,37.770062222885],[-122.409019426641,37.7700815290831],[-122.408788293275,37.7701344540123],[-122.408736440777,37.7701393695614],[-122.408493354203,37.7701305983572],[-122.408448892938,37.7701239378741],[-122.408078613822,37.7700249081971],[-122.408047993899,37.7700139838512],[-122.408019548406,37.7699982429813],[-122.407760221809,37.7698258116589],[-122.407195269293,37.7694546201403],[-122.407193601632,37.7694535124451],[-122.406673810124,37.7691044942045],[-122.406666672238,37.7690994720385],[-122.406162993614,37.7687283968879],[-122.406158933811,37.7687253254349],[-122.405834706341,37.7684734785818],[-122.405829754333,37.7684695044365],[-122.405600043672,37.7682790812861],[-122.405584933931,37.7682651875542],[-122.405312462747,37.7679875244915],[-122.405290222046,37.7679604846491],[-122.405273037482,37.7679299806717],[-122.405016154916,37.7673629892889],[-122.40500296988,37.7673232835467],[-122.404601360734,37.7654914669064]]}"
19,16th St,Market,Mission,E,0.7359539167,"{""type"":""LineString"",""coordinates"":[[-122.419656027792,37.7648483082229],[-122.420467908044,37.7648043665977],[-122.420878776746,37.7647775086182],[-122.421221762851,37.7647515849481],[-122.42122372527,37.7647514463273],[-122.421360724581,37.7647424459481],[-122.421363157822,37.7647423009788],[-122.421867065802,37.7647153594082],[-122.422827972959,37.7646534284889],[-122.422834022387,37.7646531305016],[-122.423095144364,37.7646442289366],[-122.424077273629,37.7645824086476],[-122.424078653015,37.764582326605],[-122.424560306474,37.7645553484425],[-122.4263581338,37.7644484172179],[-122.427537308252,37.7643684742016],[-122.427539702338,37.7643683263096],[-122.428649280286,37.7643064601048],[-122.429429470721,37.7642439539166],[-122.429433765039,37.7642436563433],[-122.429786756857,37.7642230102441],[-122.430074241842,37.7642021004222],[-122.430076293807,37.7642019617777],[-122.430817102462,37.7641557328652],[-122.430818055962,37.7641556756492],[-122.432283444719,37.7640712545642],[-122.432733910112,37.7640355943632],[-122.433037812868,37.7639957157828]]}"
22,16th St,Mission,Market,W,0.7360303233,"{""type"":""LineString"",""coordinates"":[[-122.43310245882,37.7643864492844],[-122.432800983757,37.7644498391733],[-122.432771910902,37.7644537537685],[-122.432278432295,37.7644836154168],[-122.430881067155,37.7645681601454],[-122.430116860474,37.7646143895159],[-122.429769478708,37.7646354026882],[-122.429427298485,37.764656099742],[-122.428675979132,37.7647055825945],[-122.428673969364,37.7647057048032],[-122.427563167845,37.76476763923],[-122.426384363472,37.7648475571565],[-122.426382709995,37.7648476623768],[-122.42458371083,37.7649546633],[-122.424583020991,37.7649547031345],[-122.424101712413,37.7649816619798],[-122.423117399611,37.7650436197118],[-122.423111649422,37.7650438986383],[-122.422850677313,37.7650527950943],[-122.421891700164,37.7651146016237],[-122.421889514559,37.7651147304784],[-122.421385730487,37.7651416654242],[-122.421250928906,37.7651505214203],[-122.420907910256,37.7651764475502],[-122.420905882704,37.7651765904393],[-122.420492881701,37.7652035878046],[-122.420490644628,37.7652037214566],[-122.419677645465,37.7652477236409]]}"
2,2nd St,Brannan,Market,N,0.7216637621,"{""type"":""LineString"",""coordinates"":[[-122.401238440926,37.7894156172958],[-122.400674440492,37.7889676164237],[-122.400673979988,37.788967249526],[-122.400206096019,37.7885933447648],[-122.399660619913,37.7881587613842],[-122.399118029717,37.7877310834409],[-122.399116083515,37.7877295296721],[-122.398651704786,37.787354030895],[-122.3981193286,37.786930528515],[-122.397567220823,37.7864904408577],[-122.397096264133,37.7861154767233],[-122.396567138695,37.7856933732143],[-122.39575815894,37.7850483930197],[-122.395023157143,37.7844623910717],[-122.394012068446,37.7836553205924],[-122.394011827046,37.7836551275968],[-122.393479832955,37.7832291320661],[-122.393158915736,37.7829721959204],[-122.392944989356,37.7828012564932],[-122.392944820501,37.7828011214187],[-122.392703902341,37.7826081868609],[-122.392475013441,37.782425273863],[-122.391939042827,37.7819972966135]]}"
82,Doyle/Lombard/Richardson,SF Cemetery,County Line,W,1.147186372,"{""type"":""LineString"",""coordinates"":[[-122.477258880834,37.8109806162687],[-122.477108001182,37.8097620334725],[-122.477035074442,37.8093226019236],[-122.476966681684,37.8091634779351],[-122.476735609054,37.8087373214016],[-122.476468420853,37.8084300487895],[-122.475872399231,37.8078576541045],[-122.475231226211,37.8073189379972],[-122.475221870869,37.807310562773],[-122.474953904195,37.8070550702584],[-122.474631851746,37.8067788191921],[-122.474625244699,37.8067728922965],[-122.474285332345,37.8064540795685],[-122.474283880754,37.8064527043786],[-122.47324077571,37.8054545593888],[-122.472331951707,37.8046061896357],[-122.47186558999,37.8042504741193],[-122.471557521878,37.8041033397975],[-122.471140786187,37.8039184778228],[-122.470472968462,37.8036932829688],[-122.469280781883,37.8034457342028],[-122.469278421719,37.8034452292582],[-122.46814342342,37.803195230972],[-122.46814211317,37.8031949377575],[-122.467007277952,37.8029369753377],[-122.465424626901,37.8025800529974],[-122.463746779406,37.8022049103107],[-122.462621288192,37.801968572106],[-122.462050890094,37.8019315973808]]}"
81,Doyle/Lombard/Richardson,Lyon/Francisco,SF Cemetery,W,0.9580921694,"{""type"":""LineString"",""coordinates"":[[-122.462061410956,37.8019320016596],[-122.461328824797,37.8019231494744],[-122.460561034856,37.802009430644],[-122.459855397953,37.8021755762147],[-122.458931843407,37.80244101201],[-122.456639612705,37.8031197842316],[-122.456638479377,37.8031201161949],[-122.455752660174,37.8033767444583],[-122.453742611905,37.8041496888939],[-122.453728544473,37.804154506181],[-122.453373545316,37.8042615043047],[-122.453350144148,37.8042670474096],[-122.452994142067,37.8043290478585],[-122.452967874179,37.80433185169],[-122.452520875768,37.8043498514868],[-122.45248896995,37.8043485852476],[-122.451972969037,37.8042865869358],[-122.451943153723,37.8042806783056],[-122.451462152117,37.8041466760908],[-122.451429354912,37.8041343535001],[-122.451039356049,37.8039473535447],[-122.451014282211,37.8039330180738],[-122.450761283404,37.8037630186769],[-122.450749875438,37.8037547556035],[-122.450486873879,37.8035497573687],[-122.450463652306,37.803528518018],[-122.45009665344,37.8031355153943],[-122.450095078843,37.8031338094875],[-122.449206895941,37.8021602824163],[-122.448994766728,37.8019703858487],[-122.447572070652,37.8009865108945],[-122.447571616167,37.8009861956628],[-122.447456616442,37.8009061957977],[-122.447021515663,37.8006031268724],[-122.446992085332,37.800578076451],[-122.446968022587,37.8005478332332],[-122.44695022597,37.8005135265522],[-122.446939360037,37.8004764374777],[-122.44692735966,37.8004134358597]]}"
77,Doyle/Lombard/Richardson,County Line,SF Cemetery,E,1.157918535,"{""type"":""LineString"",""coordinates"":[[-122.46209096051,37.8014606675499],[-122.462956535519,37.8015307173455],[-122.462984454279,37.8015349773026],[-122.464130881081,37.80179384519],[-122.465792304835,37.8021587200153],[-122.46579416156,37.8021591370505],[-122.467385950274,37.8025246289428],[-122.468335734561,37.8027201725892],[-122.468338188167,37.8027206938025],[-122.468991185694,37.8028636938474],[-122.468993763143,37.8028642761528],[-122.469794770165,37.8030508121957],[-122.470090531185,37.8031133396461],[-122.470813289719,37.8032642902262],[-122.470834488443,37.8032699470838],[-122.47132748947,37.8034309465096],[-122.47133977638,37.8034354084432],[-122.471671775216,37.8035684069834],[-122.471679751748,37.8035718048221],[-122.472115752699,37.8037688042445],[-122.472142437943,37.8037833994368],[-122.472486436932,37.8040071101838],[-122.472509687052,37.8040247726743],[-122.472863471485,37.8043367744784],[-122.473449626471,37.8048537830771],[-122.473454400145,37.8048581326502],[-122.473901412817,37.8052788397984],[-122.474967250585,37.8062409721157],[-122.474967659884,37.8062413426168],[-122.475801452241,37.8069981949972],[-122.475812731045,37.8070092772044],[-122.476085243123,37.8072990856043],[-122.476583259744,37.807821782377],[-122.47698376148,37.8082224943735],[-122.47699322539,37.8082326443287],[-122.477241688518,37.8085183825063],[-122.477266583509,37.8085542844534],[-122.477477999605,37.8089441901489],[-122.477491116934,37.8089739200332],[-122.477595848595,37.8092755466308],[-122.477604215514,37.8093084065399],[-122.477676026249,37.8097411271675],[-122.477677613243,37.8097528144883],[-122.477800934589,37.8109177136424]]}"
