cmp_segid,month,period_label,avg_speed_block
1,2024-12,12:00 am to 6:00 am,19.003882883443122
1,2024-12,12:00 pm to 6:00 pm,9.446538461538461
1,2024-12,6:00 am to 12:00 pm,15.257569278540492
1,2024-12,6:00 pm to 12:00 am,12.681615384615384
1,2025-01,12:00 am to 6:00 am,18.742292063103413
1,2025-01,12:00 pm to 6:00 pm,9.542678571428572
1,2025-01,6:00 am to 12:00 pm,14.228940476190475
1,2025-01,6:00 pm to 12:00 am,13.110261904761904
1,2025-02,12:00 am to 6:00 am,18.86875
1,2025-02,12:00 pm to 6:00 pm,8.937680555555556
1,2025-02,6:00 am to 12:00 pm,14.195833333333333
1,2025-02,6:00 pm to 12:00 am,12.994472222222223
1,2025-03,12:00 am to 6:00 am,18.83372222222222
1,2025-03,12:00 pm to 6:00 pm,8.676680555555556
1,2025-03,6:00 am to 12:00 pm,13.777166666666666
1,2025-03,6:00 pm to 12:00 am,12.659013888888888
2,2024-12,12:00 am to 6:00 am,12.33231307286581
2,2024-12,12:00 pm to 6:00 pm,11.87369549994851
2,2024-12,6:00 am to 12:00 pm,12.396565185420654
2,2024-12,6:00 pm to 12:00 am,12.839452022556209
2,2025-01,12:00 am to 6:00 am,12.625281798159547
2,2025-01,12:00 pm to 6:00 pm,11.935952380952381
2,2025-01,6:00 am to 12:00 pm,11.689146599802555
2,2025-01,6:00 pm to 12:00 am,13.368530839083158
2,2025-02,12:00 am to 6:00 am,11.777819444444445
2,2025-02,12:00 pm to 6:00 pm,11.436152777777778
2,2025-02,6:00 am to 12:00 pm,11.713097222222222
2,2025-02,6:00 pm to 12:00 am,12.896777777777778
2,2025-03,12:00 am to 6:00 am,11.753305555555556
2,2025-03,12:00 pm to 6:00 pm,11.289041666666668
2,2025-03,6:00 am to 12:00 pm,11.643333333333333
2,2025-03,6:00 pm to 12:00 am,12.96001388888889
3,2024-12,12:00 am to 6:00 am,11.97464665121293
3,2024-12,12:00 pm to 6:00 pm,13.1035429853034
3,2024-12,6:00 am to 12:00 pm,12.955502915448257
3,2024-12,6:00 pm to 12:00 am,13.08869370960194
3,2025-01,12:00 am to 6:00 am,12.09908834307089
3,2025-01,12:00 pm to 6:00 pm,13.230654761904761
3,2025-01,6:00 am to 12:00 pm,12.62347323136396
3,2025-01,6:00 pm to 12:00 am,13.138371439060302
3,2025-02,12:00 am to 6:00 am,11.001097222222223
3,2025-02,12:00 pm to 6:00 pm,12.676013888888889
3,2025-02,6:00 am to 12:00 pm,12.694763888888888
3,2025-02,6:00 pm to 12:00 am,12.748055555555554
3,2025-03,12:00 am to 6:00 am,10.826319444444444
3,2025-03,12:00 pm to 6:00 pm,12.519569444444445
3,2025-03,6:00 am to 12:00 pm,12.53225
3,2025-03,6:00 pm to 12:00 am,12.806069444444445
4,2024-12,12:00 am to 6:00 am,17.074876577185723
4,2024-12,12:00 pm to 6:00 pm,16.511067593921545
4,2024-12,6:00 am to 12:00 pm,16.447127802346568
4,2024-12,6:00 pm to 12:00 am,17.37546795011119
4,2025-01,12:00 am to 6:00 am,16.879832867058003
4,2025-01,12:00 pm to 6:00 pm,16.420581358501376
4,2025-01,6:00 am to 12:00 pm,16.23026439347532
4,2025-01,6:00 pm to 12:00 am,17.095700500927332
4,2025-02,12:00 am to 6:00 am,15.344694444444444
4,2025-02,12:00 pm to 6:00 pm,16.389888888888887
4,2025-02,6:00 am to 12:00 pm,15.988500000000002
4,2025-02,6:00 pm to 12:00 am,16.320597222222222
4,2025-03,12:00 am to 6:00 am,15.335569444444445
4,2025-03,12:00 pm to 6:00 pm,16.18133333333333
4,2025-03,6:00 am to 12:00 pm,15.94901388888889
4,2025-03,6:00 pm to 12:00 am,16.326847222222224
5,2024-12,12:00 am to 6:00 am,19.229302810713133
